date,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
2022-11-02 01:53:00,KBNA,observation,1667375580,KBNA,Nashville,1667368380,N,59,26,2600,Cloudy,2.0,Falling Rapidly,51,59,75,29.58,10.0,59,270.0,W,,3,77.0,55.0,,0.0,,Low,59,0,,,,,OVC,,,,,,,,,
2022-11-02 02:53:00,KBNA,observation,1667379180,KBNA,Nashville,1667371980,N,60,26,2600,Cloudy,,,50,60,69,29.64,10.0,60,250.0,WSW,,5,,,,0.0,,Low,60,0,,,,,OVC,,,,,,,,,
2022-11-02 03:53:00,KBNA,observation,1667382780,KBNA,Nashville,1667375580,N,59,26,2600,Cloudy,,,50,59,72,29.64,10.0,59,,VAR,,3,,,,0.0,,Low,59,0,,,,,OVC,,,,,,,,,
2022-11-02 04:53:00,KBNA,observation,1667386380,KBNA,Nashville,1667379180,N,58,26,2600,Cloudy,0.0,Steady,50,58,75,29.63,10.0,58,,VAR,,3,,,,0.0,,Low,58,0,,,,,OVC,,,,,,,,,
2022-11-02 05:53:00,KBNA,observation,1667389980,KBNA,Nashville,1667382780,N,59,26,2600,Cloudy,,,51,59,75,29.62,10.0,59,20.0,NNE,,6,,,,0.0,,Low,59,0,,,,,OVC,,,,,,,,,
2022-11-02 06:53:00,KBNA,observation,1667393580,KBNA,Nashville,1667386380,N,59,11,1201,Light Rain,,,51,59,75,29.63,10.0,59,30.0,NNE,,5,,,,0.0,,Low,59,0,,,,,OVC,,,,,,,,,
2022-11-02 07:53:00,KBNA,observation,1667397180,KBNA,Nashville,1667389980,D,58,26,2600,Cloudy,2.0,Falling,51,58,78,29.63,10.0,58,,CALM,,0,,,0.01,0.01,,Low,58,0,,,,,OVC,,,,,,,,,
2022-11-02 08:53:00,KBNA,observation,1667400780,KBNA,Nashville,1667393580,D,58,28,2800,Mostly Cloudy,,,52,58,81,29.67,10.0,58,,CALM,,0,,,,0.0,,Low,58,0,,,,,BKN,,,,,,,,,
2022-11-02 09:53:00,KBNA,observation,1667404380,KBNA,Nashville,1667397180,D,59,28,2800,Mostly Cloudy,,,52,59,78,29.69,10.0,59,300.0,WNW,,6,,,,0.0,,Low,59,0,,,,,BKN,,,,,,,,,
2022-11-02 10:53:00,KBNA,observation,1667407980,KBNA,Nashville,1667400780,D,62,28,2800,Mostly Cloudy,1.0,Rising,52,62,70,29.7,10.0,62,290.0,WNW,,5,,,,0.0,,Low,62,1,,,,,BKN,,,,,,,,,
2022-11-02 11:53:00,KBNA,observation,1667411580,KBNA,Nashville,1667404380,D,64,26,2600,Cloudy,,,52,64,65,29.69,10.0,64,350.0,N,,5,,,,0.0,,Low,64,1,,,,,OVC,,,,,,,,,
2022-11-02 12:53:00,KBNA,observation,1667415180,KBNA,Nashville,1667407980,D,65,28,2800,Mostly Cloudy,,,51,65,61,29.66,10.0,65,50.0,NE,,5,,,,0.0,,Low,65,2,,,,,BKN,,,,,,,,,
2022-11-02 13:53:00,KBNA,observation,1667418780,KBNA,Nashville,1667411580,D,67,26,2600,Cloudy,2.0,Falling,50,67,54,29.66,10.0,67,,CALM,,0,,,,0.0,,Low,67,2,,,,,OVC,,,,,,,,,
2022-11-02 14:53:00,KBNA,observation,1667422380,KBNA,Nashville,1667415180,D,67,11,1201,Light Rain,,,50,67,54,29.64,10.0,67,50.0,NE,,5,,,,0.0,,Low,67,1,,,,,OVC,,,,,,,,,
2022-11-02 15:53:00,KBNA,observation,1667425980,KBNA,Nashville,1667418780,D,69,28,2800,Mostly Cloudy,,,49,69,49,29.62,10.0,69,340.0,NNW,,5,,,,0.0,,Low,69,1,,,,,BKN,,,,,,,,,
2022-11-02 16:53:00,KBNA,observation,1667429580,KBNA,Nashville,1667422380,D,70,28,2800,Mostly Cloudy,2.0,Falling,49,70,47,29.61,10.0,70,50.0,NE,,6,,,,0.0,,Low,70,1,,,,,BKN,,,,,,,,,
2022-11-02 17:53:00,KBNA,observation,1667433180,KBNA,Nashville,1667425980,D,70,28,2800,Mostly Cloudy,,,50,70,49,29.61,10.0,70,30.0,NNE,,5,,,,0.0,,Low,70,0,,,,,BKN,,,,,,,,,
2022-11-02 18:53:00,KBNA,observation,1667436780,KBNA,Nashville,1667429580,N,66,27,2700,Mostly Cloudy,,,50,66,56,29.61,10.0,66,330.0,NNW,,3,,,,0.0,,Low,66,0,,,,,BKN,,,,,,,,,
2022-11-02 19:53:00,KBNA,observation,1667440380,KBNA,Nashville,1667433180,N,65,27,2700,Mostly Cloudy,2.0,Falling Rapidly,50,65,58,29.61,9.0,65,350.0,N,,3,,,,0.0,,Low,65,0,,,,,BKN,,,,,,,,,
2022-11-02 20:53:00,KBNA,observation,1667443980,KBNA,Nashville,1667436780,N,63,33,3300,Fair,,,50,63,63,29.61,10.0,63,350.0,N,,3,,,,0.0,,Low,63,0,,,,,CLR,,,,,,,,,
2022-11-02 21:53:00,KBNA,observation,1667447580,KBNA,Nashville,1667440380,N,59,33,3300,Fair,,,50,59,72,29.61,10.0,59,330.0,NNW,,3,,,,0.0,,Low,59,0,,,,,CLR,,,,,,,,,
2022-11-02 22:53:00,KBNA,observation,1667451180,KBNA,Nashville,1667443980,N,57,33,3300,Fair,1.0,Rising,49,57,74,29.62,10.0,57,,VAR,,3,,,,0.0,,Low,57,0,,,,,CLR,,,,,,,,,
2022-11-02 23:53:00,KBNA,observation,1667454780,KBNA,Nashville,1667447580,N,56,33,3300,Fair,,,49,56,77,29.63,10.0,56,,VAR,,3,,,,0.0,,Low,56,0,,,,,CLR,,,,,,,,,
2022-11-03 00:53:00,KBNA,observation,1667458380,KBNA,Nashville,1667451180,N,53,33,3300,Fair,,,47,53,80,29.62,8.0,53,,CALM,,0,,,,0.0,,Low,53,0,,,,,CLR,,,,,,,,,
2022-11-03 01:53:00,KBNA,observation,1667461980,KBNA,Nashville,1667454780,N,51,33,3300,Fair,2.0,Falling Rapidly,46,51,83,29.61,7.0,51,,CALM,,0,71.0,51.0,,0.0,,Low,51,0,,,,,CLR,,,,,,,,,
2022-11-03 02:53:00,KBNA,observation,1667465580,KBNA,Nashville,1667458380,N,51,33,3300,Fair,,,46,51,83,29.61,7.0,51,,CALM,,0,,,,0.0,,Low,51,0,,,,,CLR,,,,,,,,,
2022-11-03 03:53:00,KBNA,observation,1667469180,KBNA,Nashville,1667461980,N,50,33,3300,Fair,,,45,50,83,29.61,7.0,50,,CALM,,0,,,,0.0,,Low,50,0,,,,,CLR,,,,,,,,,
2022-11-03 04:53:00,KBNA,observation,1667472780,KBNA,Nashville,1667465580,N,49,33,3300,Fair,1.0,Rising,44,49,83,29.61,7.0,49,,VAR,,3,,,,0.0,,Low,49,0,,,,,CLR,,,,,,,,,
2022-11-03 05:39:00,KBNA,observation,1667475540,KBNA,Nashville,1667468340,N,49,33,3300,Fair,,,44,49,83,29.6,7.0,49,170.0,S,,3,,,,0.0,,Low,49,0,,,,,FEW,,,,,,,,,
2022-11-03 05:53:00,KBNA,observation,1667476380,KBNA,Nashville,1667469180,N,48,33,3300,Fair,,,44,48,86,29.6,7.0,48,180.0,S,,3,,,,0.0,,Low,48,0,,,,,FEW,,,,,,,,,
