date,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
2022-11-02 02:53:00,KBOI,observation,1667379180,KBOI,Boise,1667371980,N,40,11,1201,Light Rain,,,35,40,83,26.73,9.0,35.0,290.0,WNW,,7.0,65.0,40.0,,0.09,,Low,35.0,0,,,,,OVC,,,,,,,,,
2022-11-02 03:45:00,KBOI,observation,1667382300,KBOI,Boise,1667375100,N,39,26,2600,Cloudy,,,34,39,82,26.73,10.0,30.0,290.0,WNW,26.0,16.0,,,,0.02,,Low,30.0,0,,,,,OVC,,,,,,,,,
2022-11-02 03:53:00,KBOI,observation,1667382780,KBOI,Boise,1667375580,N,39,11,1201,Light Rain,,,34,39,82,26.75,10.0,30.0,280.0,W,23.0,16.0,,,,0.02,,Low,30.0,0,,,,,OVC,,,,,,,,,
2022-11-02 04:53:00,KBOI,observation,1667386380,KBOI,Boise,1667379180,N,37,26,2600,Cloudy,1.0,Rising Rapidly,34,37,89,26.79,10.0,29.0,310.0,NW,,13.0,,,,0.0,,Low,29.0,0,,,,,OVC,,,,,,,,,
2022-11-02 05:01:00,KBOI,observation,1667386860,KBOI,Boise,1667379660,N,38,26,2600,Cloudy,,,34,38,86,26.8,10.0,30.0,320.0,NW,,12.0,,,,0.0,,Low,30.0,0,,,,,OVC,,,,,,,,,
2022-11-02 05:08:00,KBOI,observation,1667387280,KBOI,Boise,1667380080,N,37,26,2600,Cloudy,,,34,37,89,26.81,10.0,30.0,310.0,NW,,9.0,,,,0.0,,Low,30.0,0,,,,,OVC,,,,,,,,,
2022-11-02 05:53:00,KBOI,observation,1667389980,KBOI,Boise,1667382780,N,37,26,2600,Cloudy,,,34,37,89,26.84,10.0,32.0,330.0,NNW,,6.0,,,,0.0,,Low,32.0,0,,,,,OVC,,,,,,,,,
2022-11-02 06:08:00,KBOI,observation,1667390880,KBOI,Boise,1667383680,N,37,26,2600,Cloudy,,,34,37,89,26.85,10.0,32.0,330.0,NNW,,7.0,,,,0.0,,Low,32.0,0,,,,,OVC,,,,,,,,,
2022-11-02 06:53:00,KBOI,observation,1667393580,KBOI,Boise,1667386380,N,37,26,2600,Cloudy,,,34,37,89,26.87,10.0,33.0,60.0,ENE,,5.0,,,,0.0,,Low,33.0,0,,,,,OVC,,,,,,,,,
2022-11-02 07:53:00,KBOI,observation,1667397180,KBOI,Boise,1667389980,N,37,27,2700,Mostly Cloudy,1.0,Rising,33,37,86,26.89,10.0,37.0,,CALM,,0.0,,,0.29,0.0,,Low,37.0,0,,,,,BKN,,,,,,,,,
2022-11-02 08:53:00,KBOI,observation,1667400780,KBOI,Boise,1667393580,N,37,27,2700,Mostly Cloudy,,,30,37,76,26.92,10.0,37.0,,CALM,,0.0,,,,0.0,,Low,37.0,0,,,,,BKN,,,,,,,,,
2022-11-02 09:53:00,KBOI,observation,1667404380,KBOI,Boise,1667397180,D,36,26,2600,Cloudy,,,32,36,86,26.93,10.0,36.0,,VAR,,3.0,,,,0.0,,Low,36.0,0,,,,,OVC,,,,,,,,,
