date,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
2022-11-02 02:53:00,KDEN,observation,1667379180,KDEN,Denver,1667371980,N,54,27,2700,Mostly Cloudy,,,15,54,22,24.43,10.0,54,190.0,S,,14,75.0,40.0,,0.0,,Low,54,0,,,,,BKN,,,,,,,,,
2022-11-02 03:53:00,KDEN,observation,1667382780,KDEN,Denver,1667375580,N,59,27,2700,Mostly Cloudy,,,12,59,16,24.43,10.0,59,200.0,SSW,,14,,,,0.0,,Low,59,0,,,,,BKN,,,,,,,,,
2022-11-02 04:53:00,KDEN,observation,1667386380,KDEN,Denver,1667379180,N,59,27,2700,Mostly Cloudy,2.0,Falling Rapidly,12,59,16,24.41,10.0,59,220.0,SW,,14,,,,0.0,,Low,59,0,,,,,BKN,,,,,,,,,
2022-11-02 05:53:00,KDEN,observation,1667389980,KDEN,Denver,1667382780,N,58,27,2700,Mostly Cloudy,,,14,58,18,24.41,10.0,58,230.0,SW,,10,,,,0.0,,Low,58,0,,,,,BKN,,,,,,,,,
2022-11-02 06:53:00,KDEN,observation,1667393580,KDEN,Denver,1667386380,N,56,27,2700,Mostly Cloudy,,,17,56,22,24.4,10.0,56,230.0,SW,,13,,,,0.0,,Low,56,0,,,,,BKN,,,,,,,,,
2022-11-02 07:53:00,KDEN,observation,1667397180,KDEN,Denver,1667389980,N,53,27,2700,Mostly Cloudy,0.0,Steady,18,53,25,24.41,10.0,53,210.0,SSW,,9,,,,0.0,,Low,53,0,,,,,BKN,,,,,,,,,
2022-11-02 08:53:00,KDEN,observation,1667400780,KDEN,Denver,1667393580,N,50,27,2700,Mostly Cloudy,,,18,50,28,24.41,10.0,50,230.0,SW,,10,,,,0.0,,Low,50,0,,,,,BKN,,,,,,,,,
2022-11-02 09:53:00,KDEN,observation,1667404380,KDEN,Denver,1667397180,D,50,28,2800,Mostly Cloudy,,,19,50,29,24.43,10.0,50,250.0,WSW,,8,,,,0.0,,Low,50,0,,,,,BKN,,,,,,,,,
2022-11-02 10:53:00,KDEN,observation,1667407980,KDEN,Denver,1667400780,D,55,28,2800,Mostly Cloudy,1.0,Rising Rapidly,20,55,25,24.43,10.0,55,220.0,SW,,12,,,,0.0,,Low,55,0,,,,,BKN,,,,,,,,,
2022-11-02 11:53:00,KDEN,observation,1667411580,KDEN,Denver,1667404380,D,61,28,2800,Mostly Cloudy,,,19,61,20,24.44,10.0,61,220.0,SW,,12,,,,0.0,,Low,61,1,,,,,BKN,,,,,,,,,
2022-11-02 12:53:00,KDEN,observation,1667415180,KDEN,Denver,1667407980,D,61,28,2800,Mostly Cloudy,,,18,61,19,24.44,10.0,61,220.0,SW,,10,,,,0.0,,Low,61,1,,,,,BKN,,,,,,,,,
2022-11-02 13:53:00,KDEN,observation,1667418780,KDEN,Denver,1667411580,D,64,28,2800,Mostly Cloudy,2.0,Falling Rapidly,17,64,16,24.43,10.0,64,220.0,SW,,7,,,,0.0,,Low,64,2,,,,,BKN,,,,,,,,,
2022-11-02 14:53:00,KDEN,observation,1667422380,KDEN,Denver,1667415180,D,66,28,2800,Mostly Cloudy,,,16,66,15,24.41,10.0,66,180.0,S,,5,,,,0.0,,Low,66,2,,,,,BKN,,,,,,,,,
2022-11-02 15:53:00,KDEN,observation,1667425980,KDEN,Denver,1667418780,D,69,30,3000,Partly Cloudy,,,14,69,12,24.38,10.0,69,140.0,SE,,6,,,,0.0,,Low,69,2,,,,,SCT,,,,,,,,,
2022-11-02 16:53:00,KDEN,observation,1667429580,KDEN,Denver,1667422380,D,70,30,3000,Partly Cloudy,2.0,Falling,13,70,11,24.37,10.0,70,110.0,ESE,,9,,,,0.0,,Low,70,1,,,,,SCT,,,,,,,,,
2022-11-02 17:53:00,KDEN,observation,1667433180,KDEN,Denver,1667425980,D,72,30,3000,Partly Cloudy,,,12,72,10,24.35,10.0,72,130.0,SE,,9,,,,0.0,,Low,72,1,,,,,SCT,,,,,,,,,
2022-11-02 18:53:00,KDEN,observation,1667436780,KDEN,Denver,1667429580,D,71,34,3400,Fair,,,10,71,9,24.34,10.0,71,150.0,SSE,21.0,16,,,,0.0,,Low,71,0,,,,,FEW,,,,,,,,,
2022-11-02 19:53:00,KDEN,observation,1667440380,KDEN,Denver,1667433180,D,66,34,3400,Fair,2.0,Falling,10,66,11,24.33,10.0,66,190.0,S,,17,,,,0.0,,Low,66,0,,,,,FEW,,,,,,,,,
2022-11-02 20:53:00,KDEN,observation,1667443980,KDEN,Denver,1667436780,N,58,33,3300,Fair,,,11,58,16,24.35,10.0,58,130.0,SE,,10,,,,0.0,,Low,58,0,,,,,FEW,,,,,,,,,
2022-11-02 21:18:00,KDEN,observation,1667445480,KDEN,Denver,1667438280,N,63,33,3300,Fair,,,14,63,15,24.36,10.0,63,200.0,SSW,,14,,,,0.0,,Low,63,0,,,,,FEW,,,,,,,,,
2022-11-02 21:53:00,KDEN,observation,1667447580,KDEN,Denver,1667440380,N,60,33,3300,Fair,,,13,60,16,24.36,10.0,60,210.0,SSW,,14,,,,0.0,,Low,60,0,,,,,FEW,,,,,,,,,
2022-11-02 22:53:00,KDEN,observation,1667451180,KDEN,Denver,1667443980,N,57,33,3300,Fair,0.0,Steady,14,57,18,24.36,10.0,57,230.0,SW,,13,,,,0.0,,Low,57,0,,,,,CLR,,,,,,,,,
2022-11-02 23:53:00,KDEN,observation,1667454780,KDEN,Denver,1667447580,N,60,33,3390,Fair / Windy,,,10,60,14,24.35,10.0,60,200.0,SSW,29.0,21,,,,0.0,,Low,60,0,,,,,FEW,,,,,,,,,
2022-11-03 00:53:00,KDEN,observation,1667458380,KDEN,Denver,1667451180,N,56,33,3300,Fair,,,9,56,15,24.36,10.0,56,200.0,SSW,,15,,,,0.0,,Low,56,0,,,,,FEW,,,,,,,,,
2022-11-03 01:53:00,KDEN,observation,1667461980,KDEN,Denver,1667454780,N,56,33,3300,Fair,2.0,Falling Rapidly,10,56,16,24.35,10.0,56,200.0,SSW,,16,,,,0.0,,Low,56,0,,,,,FEW,,,,,,,,,
2022-11-03 02:53:00,KDEN,observation,1667465580,KDEN,Denver,1667458380,N,51,33,3300,Fair,,,10,51,19,24.36,10.0,51,180.0,S,,16,73.0,48.0,,0.0,,Low,51,0,,,,,FEW,,,,,,,,,
2022-11-03 03:53:00,KDEN,observation,1667469180,KDEN,Denver,1667461980,N,49,33,3300,Fair,,,11,49,22,24.35,10.0,44,170.0,S,,14,,,,0.0,,Low,44,0,,,,,FEW,,,,,,,,,
2022-11-03 04:53:00,KDEN,observation,1667472780,KDEN,Denver,1667465580,N,52,33,3300,Fair,2.0,Falling Rapidly,15,52,23,24.34,10.0,52,190.0,S,,15,,,,0.0,,Low,52,0,,,,,FEW,,,,,,,,,
2022-11-03 05:53:00,KDEN,observation,1667476380,KDEN,Denver,1667469180,N,50,33,3300,Fair,,,19,50,29,24.33,10.0,50,190.0,S,,14,,,,0.0,,Low,50,0,,,,,FEW,,,,,,,,,
2022-11-03 06:53:00,KDEN,observation,1667479980,KDEN,Denver,1667472780,N,43,33,3300,Fair,,,19,43,38,24.34,10.0,39,120.0,ESE,,7,,,,0.0,,Low,39,0,,,,,FEW,,,,,,,,,
2022-11-03 07:53:00,KDEN,observation,1667483580,KDEN,Denver,1667476380,N,41,33,3300,Fair,1.0,Rising Rapidly,19,41,41,24.37,10.0,32,20.0,NNE,,18,,,,0.0,,Low,32,0,,,,,FEW,,,,,,,,,
2022-11-03 08:53:00,KDEN,observation,1667487180,KDEN,Denver,1667479980,N,37,29,2900,Partly Cloudy,,,23,37,57,24.41,10.0,27,10.0,N,30.0,17,,,,0.0,,Low,27,0,,,,,SCT,,,,,,,,,
2022-11-03 09:53:00,KDEN,observation,1667490780,KDEN,Denver,1667483580,D,34,28,2800,Mostly Cloudy,,,25,34,70,24.43,10.0,25,360.0,N,23.0,12,,,,0.0,,Low,25,0,,,,,BKN,,,,,,,,,
2022-11-03 10:53:00,KDEN,observation,1667494380,KDEN,Denver,1667487180,D,37,28,2800,Mostly Cloudy,1.0,Rising,25,37,62,24.47,10.0,31,10.0,N,,8,,,,0.0,,Low,31,0,,,,,BKN,,,,,,,,,
2022-11-03 11:53:00,KDEN,observation,1667497980,KDEN,Denver,1667490780,D,36,28,2800,Mostly Cloudy,,,24,36,62,24.48,10.0,28,310.0,NW,,12,,,,0.0,,Low,28,1,,,,,BKN,,,,,,,,,
2022-11-03 12:53:00,KDEN,observation,1667501580,KDEN,Denver,1667494380,D,39,28,2800,Mostly Cloudy,,,23,39,53,24.47,10.0,31,10.0,N,,13,,,,0.0,,Low,31,1,,,,,BKN,,,,,,,,,
2022-11-03 13:53:00,KDEN,observation,1667505180,KDEN,Denver,1667497980,D,37,28,2800,Mostly Cloudy,2.0,Falling Rapidly,23,37,57,24.46,10.0,32,350.0,N,,6,,,,0.0,,Low,32,2,,,,,BKN,,,,,,,,,
2022-11-03 14:53:00,KDEN,observation,1667508780,KDEN,Denver,1667501580,D,38,26,2600,Cloudy,,,23,38,55,24.43,10.0,33,30.0,NNE,,6,,,,0.0,,Low,33,1,,,,,OVC,,,,,,,,,
2022-11-03 15:53:00,KDEN,observation,1667512380,KDEN,Denver,1667505180,D,38,26,2600,Cloudy,,,23,38,55,24.43,10.0,32,60.0,ENE,,8,,,,0.0,,Low,32,1,,,,,OVC,,,,,,,,,
2022-11-03 16:53:00,KDEN,observation,1667515980,KDEN,Denver,1667508780,D,38,26,2600,Cloudy,2.0,Falling,22,38,53,24.42,10.0,30,50.0,NE,,12,,,,0.0,,Low,30,1,,,,,OVC,,,,,,,,,
2022-11-03 17:53:00,KDEN,observation,1667519580,KDEN,Denver,1667512380,D,38,26,2600,Cloudy,,,21,38,51,24.43,10.0,31,70.0,ENE,,9,,,,0.0,,Low,31,0,,,,,OVC,,,,,,,,,
2022-11-03 18:53:00,KDEN,observation,1667523180,KDEN,Denver,1667515980,D,37,26,2600,Cloudy,,,21,37,52,24.45,10.0,30,30.0,NNE,,9,,,,0.0,,Low,30,0,,,,,OVC,,,,,,,,,
