date,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
2022-11-02 00:53:00,KDTW,observation,1667371980,KDTW,Detroit,1667364780,N,49,33,3300,Fair,,,43,49,80,29.58,7.0,49.0,,CALM,,0.0,70.0,49.0,,0,,Low,49.0,0,,,,,CLR,,,,,,,,,
2022-11-02 01:53:00,KDTW,observation,1667375580,KDTW,Detroit,1667368380,N,48,33,3300,Fair,1.0,Rising Rapidly,43,48,83,29.6,7.0,46.0,200.0,SSW,,5.0,,,,0,,Low,46.0,0,,,,,CLR,,,,,,,,,
2022-11-02 02:53:00,KDTW,observation,1667379180,KDTW,Detroit,1667371980,N,47,21,2100,Haze,,,42,47,83,29.61,6.0,47.0,,CALM,,0.0,,,,0,,Low,47.0,0,,,,,CLR,,,,,,,,,
2022-11-02 03:53:00,KDTW,observation,1667382780,KDTW,Detroit,1667375580,N,43,33,3300,Fair,,,40,43,89,29.61,5.0,43.0,210.0,SSW,,3.0,,,,0,,Low,43.0,0,,,,,CLR,,,,,,,,,
2022-11-02 04:53:00,KDTW,observation,1667386380,KDTW,Detroit,1667379180,N,46,20,2002,Mist,1.0,Rising,42,46,86,29.62,5.0,46.0,260.0,W,,3.0,,,,0,,Low,46.0,0,,,,,CLR,,,,,,,,,
2022-11-02 05:53:00,KDTW,observation,1667389980,KDTW,Detroit,1667382780,N,46,20,2002,Mist,,,42,46,86,29.63,4.0,46.0,,CALM,,0.0,,,,0,,Low,46.0,0,,,,,FEW,,,,,,,,,
2022-11-02 06:53:00,KDTW,observation,1667393580,KDTW,Detroit,1667386380,N,45,20,2002,Mist,,,42,45,90,29.64,4.0,45.0,,CALM,,0.0,,,,0,,Low,45.0,0,,,,,FEW,,,,,,,,,
2022-11-02 07:41:00,KDTW,observation,1667396460,KDTW,Detroit,1667389260,D,45,20,2002,Mist,,,41,45,86,29.65,3.0,45.0,,CALM,,0.0,,,,0,,Low,45.0,0,,,,,FEW,,,,,,,,,
2022-11-02 07:53:00,KDTW,observation,1667397180,KDTW,Detroit,1667389980,D,45,20,2002,Mist,1.0,Rising,41,45,86,29.65,3.0,45.0,,CALM,,0.0,,,,0,,Low,45.0,0,,,,,FEW,,,,,,,,,
2022-11-02 08:53:00,KDTW,observation,1667400780,KDTW,Detroit,1667393580,D,46,20,2002,Mist,,,43,46,89,29.67,4.0,46.0,,CALM,,0.0,,,,0,,Low,46.0,0,,,,,FEW,,,,,,,,,
2022-11-02 09:53:00,KDTW,observation,1667404380,KDTW,Detroit,1667397180,D,49,34,3400,Fair,,,45,49,86,29.68,4.0,49.0,,CALM,,0.0,,,,0,,Low,49.0,1,,,,,CLR,,,,,,,,,
2022-11-02 10:53:00,KDTW,observation,1667407980,KDTW,Detroit,1667400780,D,57,21,2100,Haze,0.0,Steady,47,57,69,29.68,6.0,57.0,,CALM,,0.0,,,,0,,Low,57.0,1,,,,,CLR,,,,,,,,,
2022-11-02 11:53:00,KDTW,observation,1667411580,KDTW,Detroit,1667404380,D,62,34,3400,Fair,,,47,62,58,29.67,10.0,62.0,180.0,S,,6.0,,,,0,,Low,62.0,2,,,,,CLR,,,,,,,,,
