date,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
2022-11-02 01:53:00,KIAH,observation,1667375580,KIAH,Houston/Intcntl,1667368380,N,59,33,3300,Fair,2.0,Falling Rapidly,59,59,100,30.07,5,59.0,40.0,NE,,7.0,65.0,59.0,,0.0,,Low,59,0,,,,,FEW,,,,,,,,,
2022-11-02 02:53:00,KIAH,observation,1667379180,KIAH,Houston/Intcntl,1667371980,N,59,29,2900,Partly Cloudy,,,59,59,100,30.06,6,59.0,60.0,ENE,,5.0,,,,0.0,,Low,59,0,,,,,SCT,,,,,,,,,
2022-11-02 03:53:00,KIAH,observation,1667382780,KIAH,Houston/Intcntl,1667375580,N,59,27,2700,Mostly Cloudy,,,59,59,100,30.06,7,59.0,70.0,ENE,,5.0,,,,0.0,,Low,59,0,,,,,BKN,,,,,,,,,
2022-11-02 04:53:00,KIAH,observation,1667386380,KIAH,Houston/Intcntl,1667379180,N,60,26,2600,Cloudy,2.0,Falling,59,60,96,30.05,7,60.0,50.0,NE,,6.0,,,,0.0,,Low,60,0,,,,,OVC,,,,,,,,,
2022-11-02 05:53:00,KIAH,observation,1667389980,KIAH,Houston/Intcntl,1667382780,N,60,26,2600,Cloudy,,,58,60,93,30.05,10,60.0,50.0,NE,,7.0,,,,0.0,,Low,60,0,,,,,OVC,,,,,,,,,
2022-11-02 06:53:00,KIAH,observation,1667393580,KIAH,Houston/Intcntl,1667386380,N,60,26,2600,Cloudy,,,58,60,93,30.06,10,60.0,60.0,ENE,,7.0,,,,0.0,,Low,60,0,,,,,OVC,,,,,,,,,
2022-11-02 07:53:00,KIAH,observation,1667397180,KIAH,Houston/Intcntl,1667389980,N,60,26,2600,Cloudy,1.0,Rising Rapidly,58,60,93,30.07,7,60.0,20.0,NNE,,5.0,,,0.12,0.0,,Low,60,0,,,,,OVC,,,,,,,,,
2022-11-02 08:53:00,KIAH,observation,1667400780,KIAH,Houston/Intcntl,1667393580,D,61,26,2600,Cloudy,,,59,61,93,30.09,10,61.0,80.0,E,,6.0,,,,0.0,,Low,61,0,,,,,OVC,,,,,,,,,
2022-11-02 09:26:00,KIAH,observation,1667402760,KIAH,Houston/Intcntl,1667395560,D,61,26,2600,Cloudy,,,59,61,93,30.1,10,61.0,60.0,ENE,,6.0,,,,0.0,,Low,61,0,,,,,OVC,,,,,,,,,
2022-11-02 09:53:00,KIAH,observation,1667404380,KIAH,Houston/Intcntl,1667397180,D,61,26,2600,Cloudy,,,59,61,93,30.1,10,61.0,50.0,NE,,7.0,,,,0.0,,Low,61,0,,,,,OVC,,,,,,,,,
2022-11-02 10:53:00,KIAH,observation,1667407980,KIAH,Houston/Intcntl,1667400780,D,64,28,2800,Mostly Cloudy,1.0,Rising,60,64,87,30.11,10,64.0,50.0,NE,,7.0,,,,0.0,,Low,64,1,,,,,BKN,,,,,,,,,
2022-11-02 11:53:00,KIAH,observation,1667411580,KIAH,Houston/Intcntl,1667404380,D,68,30,3000,Partly Cloudy,,,61,68,78,30.1,10,68.0,80.0,E,,9.0,,,,0.0,,Low,68,2,,,,,SCT,,,,,,,,,
2022-11-02 12:53:00,KIAH,observation,1667415180,KIAH,Houston/Intcntl,1667407980,D,72,28,2800,Mostly Cloudy,,,61,72,68,30.1,10,72.0,100.0,E,,7.0,,,,0.0,,Moderate,72,3,,,,,BKN,,,,,,,,,
2022-11-02 13:14:00,KIAH,observation,1667416440,KIAH,Houston/Intcntl,1667409240,D,72,28,2800,Mostly Cloudy,,,61,72,68,30.09,10,72.0,,VAR,,7.0,,,,0.0,,Moderate,72,3,,,,,BKN,,,,,,,,,
2022-11-02 13:53:00,KIAH,observation,1667418780,KIAH,Houston/Intcntl,1667411580,D,74,28,2800,Mostly Cloudy,2.0,Falling Rapidly,62,74,66,30.08,10,74.0,120.0,ESE,,9.0,,,,0.0,,Moderate,74,3,,,,,BKN,,,,,,,,,
2022-11-02 14:53:00,KIAH,observation,1667422380,KIAH,Houston/Intcntl,1667415180,D,75,28,2800,Mostly Cloudy,,,63,75,66,30.05,10,75.0,110.0,ESE,,9.0,,,,0.0,,Moderate,75,3,,,,,BKN,,,,,,,,,
2022-11-02 15:53:00,KIAH,observation,1667425980,KIAH,Houston/Intcntl,1667418780,D,76,28,2800,Mostly Cloudy,,,64,76,67,30.02,10,76.0,130.0,SE,,12.0,,,,0.0,,Low,76,2,,,,,BKN,,,,,,,,,
2022-11-02 16:53:00,KIAH,observation,1667429580,KIAH,Houston/Intcntl,1667422380,D,78,28,2800,Mostly Cloudy,2.0,Falling,65,80,64,30.01,10,78.0,110.0,ESE,,12.0,,,,0.0,,Low,80,1,,,,,BKN,,,,,,,,,
2022-11-02 17:53:00,KIAH,observation,1667433180,KIAH,Houston/Intcntl,1667425980,D,75,26,2600,Cloudy,,,64,75,69,30.02,10,75.0,110.0,ESE,,9.0,,,,0.0,,Low,75,0,,,,,OVC,,,,,,,,,
2022-11-02 18:11:00,KIAH,observation,1667434260,KIAH,Houston/Intcntl,1667427060,D,74,26,2600,Cloudy,,,64,74,71,30.01,10,74.0,110.0,ESE,,12.0,,,,0.0,,Low,74,0,,,,,OVC,,,,,,,,,
2022-11-02 18:53:00,KIAH,observation,1667436780,KIAH,Houston/Intcntl,1667429580,D,73,26,2600,Cloudy,,,64,73,73,30.01,10,73.0,120.0,ESE,,12.0,,,,0.0,,Low,73,0,,,,,OVC,,,,,,,,,
2022-11-02 19:53:00,KIAH,observation,1667440380,KIAH,Houston/Intcntl,1667433180,N,72,26,2600,Cloudy,2.0,Falling Rapidly,64,72,76,30.01,10,72.0,110.0,ESE,,10.0,,,,0.0,,Low,72,0,,,,,OVC,,,,,,,,,
2022-11-02 20:53:00,KIAH,observation,1667443980,KIAH,Houston/Intcntl,1667436780,N,71,26,2600,Cloudy,,,63,71,75,30.02,10,71.0,110.0,ESE,,12.0,,,,0.0,,Low,71,0,,,,,OVC,,,,,,,,,
2022-11-02 21:53:00,KIAH,observation,1667447580,KIAH,Houston/Intcntl,1667440380,N,69,27,2700,Mostly Cloudy,,,63,69,81,30.03,10,69.0,110.0,ESE,,7.0,,,,0.0,,Low,69,0,,,,,BKN,,,,,,,,,
2022-11-02 22:53:00,KIAH,observation,1667451180,KIAH,Houston/Intcntl,1667443980,N,69,27,2700,Mostly Cloudy,1.0,Rising,64,69,84,30.03,10,69.0,120.0,ESE,,6.0,,,,0.0,,Low,69,0,,,,,BKN,,,,,,,,,
2022-11-02 23:53:00,KIAH,observation,1667454780,KIAH,Houston/Intcntl,1667447580,N,70,26,2600,Cloudy,,,64,70,81,30.03,10,70.0,120.0,ESE,,9.0,,,,0.0,,Low,70,0,,,,,OVC,,,,,,,,,
2022-11-03 00:53:00,KIAH,observation,1667458380,KIAH,Houston/Intcntl,1667451180,N,70,26,2600,Cloudy,,,64,70,81,30.02,10,70.0,110.0,ESE,,8.0,,,,0.0,,Low,70,0,,,,,OVC,,,,,,,,,
2022-11-03 01:14:00,KIAH,observation,1667459640,KIAH,Houston/Intcntl,1667452440,N,70,26,2600,Cloudy,,,64,70,81,30.02,10,70.0,110.0,ESE,,8.0,,,,0.0,,Low,70,0,,,,,OVC,,,,,,,,,
2022-11-03 01:53:00,KIAH,observation,1667461980,KIAH,Houston/Intcntl,1667454780,N,70,26,2600,Cloudy,2.0,Falling Rapidly,65,70,84,30.01,10,70.0,110.0,ESE,,6.0,91.0,59.0,,0.0,,Low,70,0,,,,,OVC,,,,,,,,,
2022-11-03 02:53:00,KIAH,observation,1667465580,KIAH,Houston/Intcntl,1667458380,N,70,26,2600,Cloudy,,,67,70,90,29.99,10,70.0,110.0,ESE,,8.0,,,,0.0,,Low,70,0,,,,,OVC,,,,,,,,,
2022-11-03 03:18:00,KIAH,observation,1667467080,KIAH,Houston/Intcntl,1667459880,N,70,11,1201,Light Rain,,,67,70,90,29.99,7,70.0,110.0,ESE,,6.0,,,,0.0,,Low,70,0,,,,,OVC,,,,,,,,,
2022-11-03 03:53:00,KIAH,observation,1667469180,KIAH,Houston/Intcntl,1667461980,N,70,26,2600,Cloudy,,,68,70,93,29.99,7,70.0,110.0,ESE,,6.0,,,,0.0,,Low,70,0,,,,,OVC,,,,,,,,,
2022-11-03 04:53:00,KIAH,observation,1667472780,KIAH,Houston/Intcntl,1667465580,N,70,26,2600,Cloudy,2.0,Falling Rapidly,69,70,97,29.96,7,70.0,120.0,ESE,,6.0,,,,0.0,,Low,70,0,,,,,OVC,,,,,,,,,
2022-11-03 05:53:00,KIAH,observation,1667476380,KIAH,Houston/Intcntl,1667469180,N,71,26,2600,Cloudy,,,70,71,96,29.96,7,71.0,140.0,SE,,7.0,,,,0.0,,Low,71,0,,,,,OVC,,,,,,,,,
2022-11-03 06:53:00,KIAH,observation,1667479980,KIAH,Houston/Intcntl,1667472780,N,71,26,2600,Cloudy,,,71,71,100,29.96,5,71.0,120.0,ESE,,6.0,,,,0.0,,Low,71,0,,,,,OVC,,,,,,,,,
2022-11-03 07:53:00,KIAH,observation,1667483580,KIAH,Houston/Intcntl,1667476380,N,72,26,2600,Cloudy,1.0,Rising Rapidly,71,72,97,29.96,4,72.0,130.0,SE,,8.0,,,,0.0,,Low,72,0,,,,,OVC,,,,,,,,,
2022-11-03 08:53:00,KIAH,observation,1667487180,KIAH,Houston/Intcntl,1667479980,D,71,26,2600,Cloudy,,,71,71,100,29.98,3,71.0,120.0,ESE,,7.0,,,,0.0,,Low,71,0,,,,,OVC,,,,,,,,,
2022-11-03 09:21:00,KIAH,observation,1667488860,KIAH,Houston/Intcntl,1667481660,D,72,20,2000,Fog,,,71,72,97,29.98,2,72.0,120.0,ESE,,8.0,,,,0.0,,Low,72,0,,,,,OVC,,,,,,,,,
2022-11-03 09:53:00,KIAH,observation,1667490780,KIAH,Houston/Intcntl,1667483580,D,73,20,2000,Fog,,,72,73,96,29.99,2,73.0,140.0,SE,,9.0,,,,0.0,,Low,73,0,,,,,OVC,,,,,,,,,
2022-11-03 10:39:00,KIAH,observation,1667493540,KIAH,Houston/Intcntl,1667486340,D,74,28,2800,Mostly Cloudy,,,72,74,93,29.99,4,74.0,140.0,SE,,10.0,,,,0.0,,Low,74,1,,,,,BKN,,,,,,,,,
2022-11-03 10:53:00,KIAH,observation,1667494380,KIAH,Houston/Intcntl,1667487180,D,74,26,2600,Cloudy,1.0,Rising,73,74,97,30.0,4,74.0,130.0,SE,,12.0,,,,0.0,,Low,74,1,,,,,OVC,,,,,,,,,
2022-11-03 11:40:00,KIAH,observation,1667497200,KIAH,Houston/Intcntl,1667490000,D,76,26,2600,Cloudy,,,73,76,91,30.0,5,76.0,150.0,SSE,,10.0,,,,0.0,,Low,76,1,,,,,OVC,,,,,,,,,
2022-11-03 11:53:00,KIAH,observation,1667497980,KIAH,Houston/Intcntl,1667490780,D,77,28,2800,Mostly Cloudy,,,73,78,88,29.99,7,77.0,150.0,SSE,,9.0,,,,0.0,,Low,78,2,,,,,BKN,,,,,,,,,
2022-11-03 12:53:00,KIAH,observation,1667501580,KIAH,Houston/Intcntl,1667494380,D,79,28,2800,Mostly Cloudy,,,71,82,77,29.98,10,79.0,130.0,SE,,10.0,,,,0.0,,Moderate,82,3,,,,,BKN,,,,,,,,,
2022-11-03 13:34:00,KIAH,observation,1667504040,KIAH,Houston/Intcntl,1667496840,D,81,28,2800,Mostly Cloudy,,,71,85,72,29.96,10,81.0,170.0,S,,12.0,,,,0.0,,Moderate,85,3,,,,,BKN,,,,,,,,,
2022-11-03 13:53:00,KIAH,observation,1667505180,KIAH,Houston/Intcntl,1667497980,D,82,28,2800,Mostly Cloudy,2.0,Falling Rapidly,71,86,69,29.95,10,82.0,160.0,SSE,,12.0,,,,0.0,,Moderate,86,3,,,,,BKN,,,,,,,,,
2022-11-03 14:29:00,KIAH,observation,1667507340,KIAH,Houston/Intcntl,1667500140,D,80,26,2600,Cloudy,,,71,84,74,29.93,10,80.0,110.0,ESE,,9.0,,,,0.0,,Low,84,2,,,,,OVC,,,,,,,,,
2022-11-03 14:53:00,KIAH,observation,1667508780,KIAH,Houston/Intcntl,1667501580,D,80,26,2600,Cloudy,,,72,84,76,29.92,10,80.0,150.0,SSE,,14.0,,,,0.0,,Low,84,2,,,,,OVC,,,,,,,,,
2022-11-03 15:24:00,KIAH,observation,1667510640,KIAH,Houston/Intcntl,1667503440,D,81,28,2800,Mostly Cloudy,,,71,85,72,29.91,10,81.0,140.0,SE,,18.0,,,,0.0,,Moderate,85,3,,,,,BKN,,,,,,,,,
2022-11-03 15:53:00,KIAH,observation,1667512380,KIAH,Houston/Intcntl,1667505180,D,83,28,2800,Mostly Cloudy,,,72,88,69,29.9,10,83.0,130.0,SE,,18.0,,,,0.0,,Low,88,2,,,,,BKN,,,,,,,,,
2022-11-03 16:53:00,KIAH,observation,1667515980,KIAH,Houston/Intcntl,1667508780,D,82,30,3000,Partly Cloudy,2.0,Falling,71,86,69,29.89,10,82.0,140.0,SE,,20.0,,,,0.0,,Low,86,2,,,,,SCT,,,,,,,,,
2022-11-03 17:53:00,KIAH,observation,1667519580,KIAH,Houston/Intcntl,1667512380,D,81,30,3000,Partly Cloudy,,,71,85,72,29.88,10,81.0,130.0,SE,,16.0,,,,0.0,,Low,85,1,,,,,SCT,,,,,,,,,
2022-11-03 18:53:00,KIAH,observation,1667523180,KIAH,Houston/Intcntl,1667515980,D,78,34,3400,Fair,,,71,80,79,29.88,10,78.0,120.0,ESE,,17.0,,,,0.0,,Low,80,0,,,,,FEW,,,,,,,,,
2022-11-03 19:53:00,KIAH,observation,1667526780,KIAH,Houston/Intcntl,1667519580,N,75,29,2900,Partly Cloudy,0.0,Steady,72,75,90,29.88,10,75.0,130.0,SE,,15.0,,,,0.0,,Low,75,0,,,,,SCT,,,,,,,,,
2022-11-03 20:21:00,KIAH,observation,1667528460,KIAH,Houston/Intcntl,1667521260,N,74,27,2700,Mostly Cloudy,,,72,74,93,29.89,10,74.0,140.0,SE,,13.0,,,,0.0,,Low,74,0,,,,,BKN,,,,,,,,,
2022-11-03 20:53:00,KIAH,observation,1667530380,KIAH,Houston/Intcntl,1667523180,N,74,27,2700,Mostly Cloudy,,,72,74,93,29.89,10,74.0,130.0,SE,,14.0,,,,0.0,,Low,74,0,,,,,BKN,,,,,,,,,
2022-11-03 21:35:00,KIAH,observation,1667532900,KIAH,Houston/Intcntl,1667525700,N,74,27,2700,Mostly Cloudy,,,72,74,93,29.9,10,74.0,140.0,SE,,16.0,,,,0.0,,Low,74,0,,,,,BKN,,,,,,,,,
2022-11-03 21:53:00,KIAH,observation,1667533980,KIAH,Houston/Intcntl,1667526780,N,74,27,2700,Mostly Cloudy,,,72,74,93,29.9,10,74.0,140.0,SE,,14.0,,,,0.0,,Low,74,0,,,,,BKN,,,,,,,,,
2022-11-03 22:28:00,KIAH,observation,1667536080,KIAH,Houston/Intcntl,1667528880,N,74,27,2700,Mostly Cloudy,,,72,74,93,29.9,10,74.0,130.0,SE,,13.0,,,,0.0,,Low,74,0,,,,,BKN,,,,,,,,,
2022-11-03 22:53:00,KIAH,observation,1667537580,KIAH,Houston/Intcntl,1667530380,N,74,27,2700,Mostly Cloudy,0.0,Steady,72,74,93,29.9,10,74.0,140.0,SE,,15.0,,,,0.0,,Low,74,0,,,,,BKN,,,,,,,,,
