date,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
2022-11-02 00:51:00,KJFK,observation,1667371860,KJFK,New York/JFK Intl,1667364660,N,61,33,3300,Fair,,,55,61,81,30.1,10.0,61,310.0,NW,,9,70.0,59.0,,0,,Low,61,0,,,,,FEW,,,,,,,,,
2022-11-02 01:51:00,KJFK,observation,1667375460,KJFK,New York/JFK Intl,1667368260,N,60,33,3300,Fair,1.0,Rising Rapidly,54,60,80,30.11,10.0,60,310.0,NW,,6,,,,0,,Low,60,0,,,,,FEW,,,,,,,,,
2022-11-02 02:51:00,KJFK,observation,1667379060,KJFK,New York/JFK Intl,1667371860,N,60,33,3300,Fair,,,54,60,80,30.13,10.0,60,310.0,NW,,9,,,,0,,Low,60,0,,,,,CLR,,,,,,,,,
2022-11-02 03:51:00,KJFK,observation,1667382660,KJFK,New York/JFK Intl,1667375460,N,57,33,3300,Fair,,,53,57,87,30.14,10.0,57,320.0,NW,,8,,,,0,,Low,57,0,,,,,CLR,,,,,,,,,
2022-11-02 04:51:00,KJFK,observation,1667386260,KJFK,New York/JFK Intl,1667379060,N,58,33,3300,Fair,1.0,Rising,53,58,84,30.16,10.0,58,340.0,NNW,,9,,,,0,,Low,58,0,,,,,CLR,,,,,,,,,
2022-11-02 05:51:00,KJFK,observation,1667389860,KJFK,New York/JFK Intl,1667382660,N,56,33,3300,Fair,,,51,56,84,30.2,10.0,56,10.0,N,,5,,,,0,,Low,56,0,,,,,CLR,,,,,,,,,
2022-11-02 06:51:00,KJFK,observation,1667393460,KJFK,New York/JFK Intl,1667386260,N,56,33,3300,Fair,,,51,56,84,30.23,10.0,56,350.0,N,,7,,,,0,,Low,56,0,,,,,FEW,,,,,,,,,
2022-11-02 07:51:00,KJFK,observation,1667397060,KJFK,New York/JFK Intl,1667389860,D,56,34,3400,Fair,1.0,Rising,51,56,84,30.26,10.0,56,330.0,NNW,,9,,,,0,,Low,56,0,,,,,FEW,,,,,,,,,
2022-11-02 08:51:00,KJFK,observation,1667400660,KJFK,New York/JFK Intl,1667393460,D,59,34,3400,Fair,,,50,59,72,30.29,10.0,59,350.0,N,,10,,,,0,,Low,59,0,,,,,FEW,,,,,,,,,
2022-11-02 09:51:00,KJFK,observation,1667404260,KJFK,New York/JFK Intl,1667397060,D,62,34,3400,Fair,,,49,62,62,30.31,10.0,62,360.0,N,21.0,12,,,,0,,Low,62,1,,,,,FEW,,,,,,,,,
2022-11-02 10:51:00,KJFK,observation,1667407860,KJFK,New York/JFK Intl,1667400660,D,65,34,3400,Fair,0.0,Steady,48,65,54,30.3,10.0,65,20.0,NNE,,14,,,,0,,Low,65,2,,,,,FEW,,,,,,,,,
2022-11-02 11:51:00,KJFK,observation,1667411460,KJFK,New York/JFK Intl,1667404260,D,68,34,3400,Fair,,,46,68,45,30.31,10.0,68,20.0,NNE,,14,,,,0,,Low,68,2,,,,,FEW,,,,,,,,,
2022-11-02 12:51:00,KJFK,observation,1667415060,KJFK,New York/JFK Intl,1667407860,D,69,34,3400,Fair,,,46,69,44,30.3,10.0,69,20.0,NNE,,8,,,,0,,Moderate,69,3,,,,,FEW,,,,,,,,,
