date,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
2022-11-02 00:53:00,KMIA,observation,1667371980,KMIA,Miami,1667364780,N,83,29,2900,Partly Cloudy,,,76,91,79,30.1,10,83,100.0,E,,12,90.0,79.0,,0.0,,Low,91,0,,,,,SCT,,,,,,,,,
2022-11-02 01:53:00,KMIA,observation,1667375580,KMIA,Miami,1667368380,N,82,27,2700,Mostly Cloudy,2.0,Falling Rapidly,76,89,82,30.09,10,82,80.0,E,,8,,,,0.0,,Low,89,0,,,,,BKN,,,,,,,,,
2022-11-02 02:53:00,KMIA,observation,1667379180,KMIA,Miami,1667371980,N,81,29,2900,Partly Cloudy,,,76,87,85,30.09,10,81,100.0,E,,6,,,,0.0,,Low,87,0,,,,,SCT,,,,,,,,,
2022-11-02 03:53:00,KMIA,observation,1667382780,KMIA,Miami,1667375580,N,81,33,3300,Fair,,,76,87,85,30.08,10,81,110.0,ESE,,6,,,,0.0,,Low,87,0,,,,,FEW,,,,,,,,,
2022-11-02 04:53:00,KMIA,observation,1667386380,KMIA,Miami,1667379180,N,80,29,2900,Partly Cloudy,2.0,Falling,76,85,87,30.08,10,80,90.0,E,,6,,,,0.0,,Low,85,0,,,,,SCT,,,,,,,,,
2022-11-02 05:53:00,KMIA,observation,1667389980,KMIA,Miami,1667382780,N,80,29,2900,Partly Cloudy,,,76,85,87,30.08,10,80,90.0,E,,7,,,,0.0,,Low,85,0,,,,,SCT,,,,,,,,,
2022-11-02 06:53:00,KMIA,observation,1667393580,KMIA,Miami,1667386380,N,80,33,3300,Fair,,,76,85,87,30.09,10,80,80.0,E,,6,,,,0.0,,Low,85,0,,,,,CLR,,,,,,,,,
2022-11-02 07:53:00,KMIA,observation,1667397180,KMIA,Miami,1667389980,D,80,30,3000,Partly Cloudy,1.0,Rising Rapidly,77,86,90,30.11,10,80,60.0,ENE,,5,,,,0.0,,Low,86,0,,,,,SCT,,,,,,,,,
2022-11-02 08:53:00,KMIA,observation,1667400780,KMIA,Miami,1667393580,D,83,34,3400,Fair,,,76,91,79,30.12,10,83,80.0,E,,9,,,,0.0,,Low,91,1,,,,,FEW,,,,,,,,,
2022-11-02 09:53:00,KMIA,observation,1667404380,KMIA,Miami,1667397180,D,84,30,3000,Partly Cloudy,,,75,92,74,30.14,10,84,90.0,E,,13,,,,0.0,,Low,92,2,,,,,SCT,,,,,,,,,
2022-11-02 10:53:00,KMIA,observation,1667407980,KMIA,Miami,1667400780,D,88,28,2800,Mostly Cloudy,1.0,Rising,74,97,63,30.15,10,88,90.0,E,,13,,,,0.0,,Low,97,2,,,,,BKN,,,,,,,,,
2022-11-02 11:47:00,KMIA,observation,1667411220,KMIA,Miami,1667404020,D,90,28,2800,Mostly Cloudy,,,73,98,59,30.14,10,90,110.0,ESE,,13,,,,0.0,,Moderate,98,3,,,,,BKN,,,,,,,,,
2022-11-02 11:53:00,KMIA,observation,1667411580,KMIA,Miami,1667404380,D,88,28,2800,Mostly Cloudy,,,74,97,63,30.14,10,88,90.0,E,,13,,,,0.0,,Moderate,97,3,,,,,BKN,,,,,,,,,
2022-11-02 12:30:00,KMIA,observation,1667413800,KMIA,Miami,1667406600,D,89,28,2800,Mostly Cloudy,,,74,98,61,30.12,10,89,110.0,ESE,,14,,,,0.0,,Moderate,98,4,,,,,BKN,,,,,,,,,
2022-11-02 12:53:00,KMIA,observation,1667415180,KMIA,Miami,1667407980,D,88,28,2800,Mostly Cloudy,,,74,97,63,30.11,10,88,100.0,E,,13,,,,0.0,,Moderate,97,4,,,,,BKN,,,,,,,,,
2022-11-02 13:53:00,KMIA,observation,1667418780,KMIA,Miami,1667411580,D,88,28,2800,Mostly Cloudy,2.0,Falling Rapidly,73,96,61,30.09,10,88,80.0,E,17.0,12,,,,0.0,,Moderate,96,4,,,,,BKN,,,,,,,,,
2022-11-02 14:53:00,KMIA,observation,1667422380,KMIA,Miami,1667415180,D,89,28,2800,Mostly Cloudy,,,73,97,59,30.07,10,89,100.0,E,,13,,,,0.0,,Moderate,97,3,,,,,BKN,,,,,,,,,
2022-11-02 15:53:00,KMIA,observation,1667425980,KMIA,Miami,1667418780,D,88,28,2800,Mostly Cloudy,,,74,97,63,30.07,10,88,90.0,E,,14,,,,0.0,,Low,97,2,,,,,BKN,,,,,,,,,
2022-11-02 16:53:00,KMIA,observation,1667429580,KMIA,Miami,1667422380,D,87,28,2800,Mostly Cloudy,2.0,Falling,73,94,63,30.07,10,87,80.0,E,,10,,,,0.0,,Low,94,1,,,,,BKN,,,,,,,,,
2022-11-02 17:53:00,KMIA,observation,1667433180,KMIA,Miami,1667425980,D,85,30,3000,Partly Cloudy,,,74,92,69,30.07,10,85,80.0,E,,12,,,,0.0,,Low,92,0,,,,,SCT,,,,,,,,,
2022-11-02 18:53:00,KMIA,observation,1667436780,KMIA,Miami,1667429580,N,84,27,2700,Mostly Cloudy,,,75,92,74,30.09,10,84,80.0,E,,12,,,,0.0,,Low,92,0,,,,,BKN,,,,,,,,,
2022-11-02 19:53:00,KMIA,observation,1667440380,KMIA,Miami,1667433180,N,83,26,2600,Cloudy,1.0,Rising Rapidly,75,90,77,30.1,10,83,50.0,NE,,8,,,,0.0,,Low,90,0,,,,,OVC,,,,,,,,,
2022-11-02 20:53:00,KMIA,observation,1667443980,KMIA,Miami,1667436780,N,83,26,2600,Cloudy,,,74,89,74,30.1,10,83,60.0,ENE,,9,,,,0.0,,Low,89,0,,,,,OVC,,,,,,,,,
2022-11-02 21:53:00,KMIA,observation,1667447580,KMIA,Miami,1667440380,N,83,27,2700,Mostly Cloudy,,,75,90,77,30.12,10,83,50.0,NE,,7,,,,0.0,,Low,90,0,,,,,BKN,,,,,,,,,
2022-11-02 22:17:00,KMIA,observation,1667449020,KMIA,Miami,1667441820,N,83,27,2700,Mostly Cloudy,,,75,90,77,30.12,10,83,70.0,ENE,,8,,,,0.0,,Low,90,0,,,,,BKN,,,,,,,,,
2022-11-02 22:53:00,KMIA,observation,1667451180,KMIA,Miami,1667443980,N,82,27,2700,Mostly Cloudy,0.0,Steady,74,88,76,30.11,10,82,80.0,E,,9,,,,0.0,,Low,88,0,,,,,BKN,,,,,,,,,
2022-11-02 23:53:00,KMIA,observation,1667454780,KMIA,Miami,1667447580,N,82,26,2600,Cloudy,,,75,89,79,30.12,10,82,60.0,ENE,,7,,,,0.0,,Low,89,0,,,,,OVC,,,,,,,,,
2022-11-03 00:53:00,KMIA,observation,1667458380,KMIA,Miami,1667451180,N,81,26,2600,Cloudy,,,75,87,82,30.1,10,81,70.0,ENE,,8,90.0,79.0,,0.0,,Low,87,0,,,,,OVC,,,,,,,,,
2022-11-03 01:53:00,KMIA,observation,1667461980,KMIA,Miami,1667454780,N,81,26,2600,Cloudy,2.0,Falling Rapidly,74,86,79,30.08,10,81,60.0,ENE,,5,,,,0.0,,Low,86,0,,,,,OVC,,,,,,,,,
2022-11-03 02:53:00,KMIA,observation,1667465580,KMIA,Miami,1667458380,N,80,27,2700,Mostly Cloudy,,,75,85,85,30.07,10,80,40.0,NE,,5,,,,0.0,,Low,85,0,,,,,BKN,,,,,,,,,
2022-11-03 03:47:00,KMIA,observation,1667468820,KMIA,Miami,1667461620,N,81,11,1201,Light Rain,,,75,86,84,30.07,8,81,20.0,NNE,,7,,,,0.0,,Low,86,0,,,,,OVC,,,,,,,,,
2022-11-03 03:53:00,KMIA,observation,1667469180,KMIA,Miami,1667461980,N,80,12,1200,Rain,,,75,85,85,30.07,8,80,40.0,NE,,6,,,,0.0,,Low,85,0,,,,,OVC,,,,,,,,,
2022-11-03 04:22:00,KMIA,observation,1667470920,KMIA,Miami,1667463720,N,78,12,1200,Rain,,,74,81,87,30.06,2,78,70.0,ENE,,12,,,,0.03,,Low,81,0,,,,,OVC,,,,,,,,,
2022-11-03 04:31:00,KMIA,observation,1667471460,KMIA,Miami,1667464260,N,78,12,1200,Rain,,,74,81,87,30.06,7,78,70.0,ENE,,6,,,,0.11,,Low,81,0,,,,,OVC,,,,,,,,,
2022-11-03 04:53:00,KMIA,observation,1667472780,KMIA,Miami,1667465580,N,78,27,2700,Mostly Cloudy,2.0,Falling Rapidly,75,81,90,30.06,10,78,,CALM,,0,,,,0.12,,Low,81,0,,,,,BKN,,,,,,,,,
2022-11-03 05:53:00,KMIA,observation,1667476380,KMIA,Miami,1667469180,N,77,27,2700,Mostly Cloudy,,,75,78,94,30.06,10,77,,CALM,,0,,,,0.02,,Low,78,0,,,,,BKN,,,,,,,,,
2022-11-03 06:53:00,KMIA,observation,1667479980,KMIA,Miami,1667472780,N,76,27,2700,Mostly Cloudy,,,74,76,94,30.07,10,76,,CALM,,0,,,,0.0,,Low,76,0,,,,,BKN,,,,,,,,,
2022-11-03 07:53:00,KMIA,observation,1667483580,KMIA,Miami,1667476380,D,77,28,2800,Mostly Cloudy,1.0,Rising Rapidly,74,78,90,30.09,10,77,30.0,NNE,,3,,,0.14,0.0,,Low,78,0,,,,,BKN,,,,,,,,,
2022-11-03 08:53:00,KMIA,observation,1667487180,KMIA,Miami,1667479980,D,79,28,2800,Mostly Cloudy,,,73,82,82,30.11,10,79,,VAR,,5,,,,0.0,,Low,82,0,,,,,BKN,,,,,,,,,
2022-11-03 09:53:00,KMIA,observation,1667490780,KMIA,Miami,1667483580,D,81,28,2800,Mostly Cloudy,,,73,86,77,30.12,10,81,80.0,E,,9,,,,0.0,,Low,86,1,,,,,BKN,,,,,,,,,
2022-11-03 10:53:00,KMIA,observation,1667494380,KMIA,Miami,1667487180,D,85,28,2800,Mostly Cloudy,1.0,Rising,70,89,61,30.12,10,85,80.0,E,,12,,,,0.0,,Low,89,2,,,,,BKN,,,,,,,,,
2022-11-03 11:53:00,KMIA,observation,1667497980,KMIA,Miami,1667490780,D,86,28,2800,Mostly Cloudy,,,72,92,63,30.11,10,86,50.0,NE,20.0,10,,,,0.0,,Moderate,92,3,,,,,BKN,,,,,,,,,
2022-11-03 12:53:00,KMIA,observation,1667501580,KMIA,Miami,1667494380,D,87,28,2800,Mostly Cloudy,,,71,93,59,30.09,10,87,50.0,NE,,10,,,,0.0,,Moderate,93,4,,,,,BKN,,,,,,,,,
2022-11-03 13:53:00,KMIA,observation,1667505180,KMIA,Miami,1667497980,D,85,28,2800,Mostly Cloudy,2.0,Falling Rapidly,72,91,65,30.06,10,85,60.0,ENE,,13,,,,0.0,,Moderate,91,4,,,,,BKN,,,,,,,,,
2022-11-03 14:53:00,KMIA,observation,1667508780,KMIA,Miami,1667501580,D,86,30,3000,Partly Cloudy,,,71,91,61,30.03,10,86,70.0,ENE,,13,,,,0.0,,Moderate,91,4,,,,,SCT,,,,,,,,,
2022-11-03 15:53:00,KMIA,observation,1667512380,KMIA,Miami,1667505180,D,86,30,3000,Partly Cloudy,,,70,91,59,30.02,10,86,90.0,E,18.0,12,,,,0.0,,Low,91,2,,,,,SCT,,,,,,,,,
2022-11-03 16:53:00,KMIA,observation,1667515980,KMIA,Miami,1667508780,D,86,30,3000,Partly Cloudy,2.0,Falling,69,90,57,30.02,10,86,60.0,ENE,,13,,,,0.0,,Low,90,1,,,,,SCT,,,,,,,,,
2022-11-03 17:53:00,KMIA,observation,1667519580,KMIA,Miami,1667512380,D,84,30,3000,Partly Cloudy,,,70,88,63,30.03,10,84,70.0,ENE,,12,,,,0.0,,Low,88,0,,,,,SCT,,,,,,,,,
2022-11-03 18:53:00,KMIA,observation,1667523180,KMIA,Miami,1667515980,N,82,29,2900,Partly Cloudy,,,70,86,67,30.04,10,82,60.0,ENE,,13,,,,0.0,,Low,86,0,,,,,SCT,,,,,,,,,
2022-11-03 19:53:00,KMIA,observation,1667526780,KMIA,Miami,1667519580,N,82,27,2700,Mostly Cloudy,1.0,Rising Rapidly,70,86,67,30.05,10,82,50.0,NE,,9,,,,0.0,,Low,86,0,,,,,BKN,,,,,,,,,
2022-11-03 20:53:00,KMIA,observation,1667530380,KMIA,Miami,1667523180,N,82,27,2700,Mostly Cloudy,,,71,86,69,30.06,10,82,50.0,NE,,10,,,,0.0,,Low,86,0,,,,,BKN,,,,,,,,,
2022-11-03 21:53:00,KMIA,observation,1667533980,KMIA,Miami,1667526780,N,81,29,2900,Partly Cloudy,,,69,84,67,30.07,10,81,30.0,NNE,,3,,,,0.0,,Low,84,0,,,,,SCT,,,,,,,,,
2022-11-03 22:53:00,KMIA,observation,1667537580,KMIA,Miami,1667530380,N,80,29,2900,Partly Cloudy,1.0,Rising,71,84,74,30.07,10,80,20.0,NNE,,5,,,,0.0,,Low,84,0,,,,,SCT,,,,,,,,,
2022-11-03 23:53:00,KMIA,observation,1667541180,KMIA,Miami,1667533980,N,79,33,3300,Fair,,,70,82,74,30.07,10,79,30.0,NNE,,3,,,,0.0,,Low,82,0,,,,,FEW,,,,,,,,,
2022-11-04 00:53:00,KMIA,observation,1667544780,KMIA,Miami,1667537580,N,78,29,2900,Partly Cloudy,,,70,80,76,30.06,10,78,40.0,NE,,5,88.0,76.0,,0.0,,Low,80,0,,,,,SCT,,,,,,,,,
2022-11-04 01:53:00,KMIA,observation,1667548380,KMIA,Miami,1667541180,N,77,33,3300,Fair,2.0,Falling Rapidly,71,79,82,30.04,10,77,,VAR,,3,,,,0.0,,Low,79,0,,,,,FEW,,,,,,,,,
2022-11-04 02:53:00,KMIA,observation,1667551980,KMIA,Miami,1667544780,N,76,33,3300,Fair,,,69,76,79,30.03,10,76,340.0,NNW,,6,,,,0.0,,Low,76,0,,,,,CLR,,,,,,,,,
2022-11-04 03:53:00,KMIA,observation,1667555580,KMIA,Miami,1667548380,N,76,33,3300,Fair,,,69,76,79,30.02,10,76,360.0,N,,5,,,,0.0,,Low,76,0,,,,,CLR,,,,,,,,,
2022-11-04 04:53:00,KMIA,observation,1667559180,KMIA,Miami,1667551980,N,75,33,3300,Fair,2.0,Falling,70,75,84,30.01,10,75,330.0,NNW,,5,,,,0.0,,Low,75,0,,,,,CLR,,,,,,,,,
2022-11-04 05:53:00,KMIA,observation,1667562780,KMIA,Miami,1667555580,N,74,33,3300,Fair,,,71,74,91,30.0,10,74,320.0,NW,,6,,,,0.0,,Low,74,0,,,,,CLR,,,,,,,,,
2022-11-04 06:53:00,KMIA,observation,1667566380,KMIA,Miami,1667559180,N,73,33,3300,Fair,,,71,73,93,30.01,10,73,330.0,NNW,,6,,,,0.0,,Low,73,0,,,,,FEW,,,,,,,,,
2022-11-04 07:53:00,KMIA,observation,1667569980,KMIA,Miami,1667562780,D,74,34,3400,Fair,1.0,Rising Rapidly,70,74,87,30.02,10,74,,VAR,,3,,,,0.0,,Low,74,0,,,,,FEW,,,,,,,,,
