date,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
2022-11-02 01:53:00,KMIC,observation,1667375580,KMIC,Minneapolis,1667368380,N,58,33,3300,Fair,1.0,Rising,42,58,56,29.05,10,58.0,160.0,SSE,,5.0,71.0,36.0,,0.0,,Low,58.0,0,,,,,CLR,,,,,,,,,
2022-11-02 02:53:00,KMIC,observation,1667379180,KMIC,Minneapolis,1667371980,N,57,33,3300,Fair,,,42,57,57,29.05,10,57.0,170.0,S,,8.0,,,,0.0,,Low,57.0,0,,,,,CLR,,,,,,,,,
2022-11-02 03:53:00,KMIC,observation,1667382780,KMIC,Minneapolis,1667375580,N,58,33,3300,Fair,,,43,58,58,29.05,10,58.0,170.0,S,,8.0,,,,0.0,,Low,58.0,0,,,,,CLR,,,,,,,,,
2022-11-02 04:53:00,KMIC,observation,1667386380,KMIC,Minneapolis,1667379180,N,57,33,3300,Fair,2.0,Falling Rapidly,43,57,59,29.04,10,57.0,170.0,S,,7.0,,,,0.0,,Low,57.0,0,,,,,CLR,,,,,,,,,
2022-11-02 05:53:00,KMIC,observation,1667389980,KMIC,Minneapolis,1667382780,N,56,33,3300,Fair,,,43,56,62,29.04,10,56.0,170.0,S,,9.0,,,,0.0,,Low,56.0,0,,,,,CLR,,,,,,,,,
2022-11-02 06:53:00,KMIC,observation,1667393580,KMIC,Minneapolis,1667386380,N,55,33,3300,Fair,,,43,55,64,29.05,10,55.0,160.0,SSE,,8.0,,,,0.0,,Low,55.0,0,,,,,CLR,,,,,,,,,
2022-11-02 07:53:00,KMIC,observation,1667397180,KMIC,Minneapolis,1667389980,N,54,33,3300,Fair,1.0,Rising,43,54,66,29.05,10,54.0,150.0,SSE,,8.0,,,,0.0,,Low,54.0,0,,,,,CLR,,,,,,,,,
2022-11-02 08:53:00,KMIC,observation,1667400780,KMIC,Minneapolis,1667393580,D,53,34,3400,Fair,,,42,53,66,29.05,10,53.0,150.0,SSE,,10.0,,,,0.0,,Low,53.0,0,,,,,CLR,,,,,,,,,
2022-11-02 09:53:00,KMIC,observation,1667404380,KMIC,Minneapolis,1667397180,D,58,34,3400,Fair,,,42,58,56,29.07,10,58.0,170.0,S,,9.0,,,,0.0,,Low,58.0,0,,,,,CLR,,,,,,,,,
2022-11-02 10:53:00,KMIC,observation,1667407980,KMIC,Minneapolis,1667400780,D,62,34,3400,Fair,0.0,Steady,43,62,50,29.06,10,62.0,170.0,S,,9.0,,,,0.0,,Low,62.0,1,,,,,CLR,,,,,,,,,
2022-11-02 11:53:00,KMIC,observation,1667411580,KMIC,Minneapolis,1667404380,D,67,34,3400,Fair,,,45,67,45,29.05,10,67.0,180.0,S,24.0,10.0,,,,0.0,,Low,67.0,1,,,,,CLR,,,,,,,,,
2022-11-02 12:53:00,KMIC,observation,1667415180,KMIC,Minneapolis,1667407980,D,71,34,3400,Fair,,,47,71,42,29.03,10,71.0,170.0,S,,14.0,,,,0.0,,Low,71.0,2,,,,,CLR,,,,,,,,,
2022-11-02 13:53:00,KMIC,observation,1667418780,KMIC,Minneapolis,1667411580,D,74,34,3400,Fair,2.0,Falling Rapidly,47,74,38,29.0,10,74.0,190.0,S,40.0,18.0,,,,0.0,,Low,74.0,2,,,,,CLR,,,,,,,,,
2022-11-02 14:53:00,KMIC,observation,1667422380,KMIC,Minneapolis,1667415180,D,77,34,3400,Fair,,,44,78,31,28.97,10,77.0,180.0,S,37.0,16.0,,,,0.0,,Low,78.0,2,,,,,CLR,,,,,,,,,
2022-11-02 15:53:00,KMIC,observation,1667425980,KMIC,Minneapolis,1667418780,D,77,34,3400,Fair,,,42,78,29,28.95,10,77.0,190.0,S,39.0,14.0,,,,0.0,,Low,78.0,1,,,,,CLR,,,,,,,,,
2022-11-02 16:53:00,KMIC,observation,1667429580,KMIC,Minneapolis,1667422380,D,75,34,3400,Fair,2.0,Falling,43,75,32,28.95,10,75.0,190.0,S,36.0,20.0,,,,0.0,,Low,75.0,1,,,,,CLR,,,,,,,,,
2022-11-02 17:53:00,KMIC,observation,1667433180,KMIC,Minneapolis,1667425980,D,74,34,3400,Fair,,,44,74,34,28.93,10,74.0,170.0,S,32.0,16.0,,,,0.0,,Low,74.0,0,,,,,CLR,,,,,,,,,
2022-11-02 18:53:00,KMIC,observation,1667436780,KMIC,Minneapolis,1667429580,D,72,34,3400,Fair,,,44,72,37,28.92,10,72.0,170.0,S,38.0,16.0,,,,0.0,,Low,72.0,0,,,,,CLR,,,,,,,,,
2022-11-02 19:53:00,KMIC,observation,1667440380,KMIC,Minneapolis,1667433180,N,71,33,3300,Fair,2.0,Falling,43,71,36,28.91,10,71.0,170.0,S,30.0,14.0,,,,0.0,,Low,71.0,0,,,,,CLR,,,,,,,,,
2022-11-02 20:53:00,KMIC,observation,1667443980,KMIC,Minneapolis,1667436780,N,70,33,3300,Fair,,,44,70,39,28.91,10,70.0,160.0,SSE,26.0,16.0,,,,0.0,,Low,70.0,0,,,,,CLR,,,,,,,,,
2022-11-02 21:53:00,KMIC,observation,1667447580,KMIC,Minneapolis,1667440380,N,70,33,3300,Fair,,,44,70,39,28.93,10,70.0,180.0,S,30.0,17.0,,,,0.0,,Low,70.0,0,,,,,CLR,,,,,,,,,
