date,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
2022-11-02 01:52:00,KOKC,observation,1667375520,KOKC,Oklahoma City,1667368320,N,54,33,3300,Fair,1.0,Rising,50,54,86,28.75,10,54,170.0,S,,7,76.0,47.0,,0.0,,Low,54,0,,,,,CLR,,,,,,,,,
2022-11-02 02:52:00,KOKC,observation,1667379120,KOKC,Oklahoma City,1667371920,N,54,33,3300,Fair,,,50,54,86,28.74,10,54,160.0,SSE,,10,,,,0.0,,Low,54,0,,,,,CLR,,,,,,,,,
2022-11-02 03:52:00,KOKC,observation,1667382720,KOKC,Oklahoma City,1667375520,N,54,33,3300,Fair,,,50,54,86,28.75,10,54,170.0,S,,9,,,,0.0,,Low,54,0,,,,,FEW,,,,,,,,,
2022-11-02 04:52:00,KOKC,observation,1667386320,KOKC,Oklahoma City,1667379120,N,52,33,3300,Fair,2.0,Falling,50,52,93,28.75,10,52,170.0,S,,8,,,,0.0,,Low,52,0,,,,,CLR,,,,,,,,,
2022-11-02 05:52:00,KOKC,observation,1667389920,KOKC,Oklahoma City,1667382720,N,52,33,3300,Fair,,,50,52,93,28.74,8,52,160.0,SSE,,8,,,,0.0,,Low,52,0,,,,,CLR,,,,,,,,,
2022-11-02 06:52:00,KOKC,observation,1667393520,KOKC,Oklahoma City,1667386320,N,51,33,3300,Fair,,,50,51,96,28.75,5,51,170.0,S,,8,,,,0.0,,Low,51,0,,,,,CLR,,,,,,,,,
2022-11-02 07:52:00,KOKC,observation,1667397120,KOKC,Oklahoma City,1667389920,N,50,33,3300,Fair,1.0,Rising Rapidly,50,50,100,28.76,3,50,180.0,S,,8,,,,0.0,,Low,50,0,,,,,CLR,,,,,,,,,
2022-11-02 08:52:00,KOKC,observation,1667400720,KOKC,Oklahoma City,1667393520,D,51,34,3400,Fair,,,51,51,100,28.76,5,51,160.0,SSE,,8,,,,0.0,,Low,51,0,,,,,FEW,,,,,,,,,
2022-11-02 09:52:00,KOKC,observation,1667404320,KOKC,Oklahoma City,1667397120,D,53,30,3000,Partly Cloudy,,,53,53,100,28.78,5,53,170.0,S,,10,,,,0.0,,Low,53,0,,,,,SCT,,,,,,,,,
2022-11-02 10:32:00,KOKC,observation,1667406720,KOKC,Oklahoma City,1667399520,D,55,30,3000,Partly Cloudy,,,54,55,96,28.79,4,55,170.0,S,,12,,,,0.0,,Low,55,0,,,,,SCT,,,,,,,,,
2022-11-02 10:52:00,KOKC,observation,1667407920,KOKC,Oklahoma City,1667400720,D,57,30,3000,Partly Cloudy,1.0,Rising Rapidly,56,57,96,28.79,5,57,180.0,S,,13,,,,0.0,,Low,57,1,,,,,SCT,,,,,,,,,
2022-11-02 11:52:00,KOKC,observation,1667411520,KOKC,Oklahoma City,1667404320,D,60,28,2800,Mostly Cloudy,,,56,60,86,28.79,10,60,170.0,S,,13,,,,0.0,,Low,60,1,,,,,BKN,,,,,,,,,
2022-11-02 12:11:00,KOKC,observation,1667412660,KOKC,Oklahoma City,1667405460,D,60,28,2800,Mostly Cloudy,,,56,60,86,28.79,10,60,170.0,S,,13,,,,0.0,,Low,60,2,,,,,BKN,,,,,,,,,
2022-11-02 12:44:00,KOKC,observation,1667414640,KOKC,Oklahoma City,1667407440,D,60,26,2600,Cloudy,,,56,60,86,28.79,10,60,180.0,S,,17,,,,0.0,,Low,60,1,,,,,OVC,,,,,,,,,
2022-11-02 12:52:00,KOKC,observation,1667415120,KOKC,Oklahoma City,1667407920,D,61,26,2600,Cloudy,,,56,61,83,28.78,10,61,170.0,S,,14,,,,0.0,,Low,61,1,,,,,OVC,,,,,,,,,
2022-11-02 13:52:00,KOKC,observation,1667418720,KOKC,Oklahoma City,1667411520,D,59,26,2600,Cloudy,2.0,Falling Rapidly,56,59,90,28.78,7,59,180.0,S,,17,,,,0.0,,Low,59,2,,,,,OVC,,,,,,,,,
2022-11-02 14:52:00,KOKC,observation,1667422320,KOKC,Oklahoma City,1667415120,D,58,26,2600,Cloudy,,,55,58,90,28.75,6,58,180.0,S,,15,,,,0.0,,Low,58,2,,,,,OVC,,,,,,,,,
2022-11-02 15:52:00,KOKC,observation,1667425920,KOKC,Oklahoma City,1667418720,D,59,26,2600,Cloudy,,,56,59,90,28.74,7,59,170.0,S,,14,,,,0.0,,Low,59,1,,,,,OVC,,,,,,,,,
