date,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
2022-11-02 01:51:00,KORD,observation,1667375460,KORD,Chicago/O'Hare,1667368260,N,49,33,3300,Fair,1.0,Rising,40,49,71,29.5,10,49,,CALM,,0,68.0,45.0,,0.0,,Low,49,0,,,,,CLR,,,,,,,,,
2022-11-02 02:51:00,KORD,observation,1667379060,KORD,Chicago/O'Hare,1667371860,N,48,33,3300,Fair,,,40,48,74,29.5,10,48,,CALM,,0,,,,0.0,,Low,48,0,,,,,CLR,,,,,,,,,
2022-11-02 03:51:00,KORD,observation,1667382660,KORD,Chicago/O'Hare,1667375460,N,46,33,3300,Fair,,,39,46,76,29.5,10,46,,CALM,,0,,,,0.0,,Low,46,0,,,,,CLR,,,,,,,,,
2022-11-02 04:51:00,KORD,observation,1667386260,KORD,Chicago/O'Hare,1667379060,N,44,33,3300,Fair,0.0,Steady,38,44,79,29.5,10,44,,CALM,,0,,,,0.0,,Low,44,0,,,,,CLR,,,,,,,,,
2022-11-02 05:51:00,KORD,observation,1667389860,KORD,Chicago/O'Hare,1667382660,N,44,33,3300,Fair,,,39,44,82,29.5,10,44,,CALM,,0,,,,0.0,,Low,44,0,,,,,CLR,,,,,,,,,
2022-11-02 06:51:00,KORD,observation,1667393460,KORD,Chicago/O'Hare,1667386260,N,44,33,3300,Fair,,,39,44,82,29.51,10,44,170.0,S,,3,,,,0.0,,Low,44,0,,,,,CLR,,,,,,,,,
2022-11-02 07:51:00,KORD,observation,1667397060,KORD,Chicago/O'Hare,1667389860,N,44,33,3300,Fair,1.0,Rising Rapidly,39,44,82,29.52,10,44,160.0,SSE,,3,,,,0.0,,Low,44,0,,,,,FEW,,,,,,,,,
2022-11-02 08:51:00,KORD,observation,1667400660,KORD,Chicago/O'Hare,1667393460,D,46,34,3400,Fair,,,42,46,86,29.52,10,44,160.0,SSE,,5,,,,0.0,,Low,44,0,,,,,FEW,,,,,,,,,
2022-11-02 09:51:00,KORD,observation,1667404260,KORD,Chicago/O'Hare,1667397060,D,51,34,3400,Fair,,,46,51,83,29.53,10,51,170.0,S,,5,,,,0.0,,Low,51,0,,,,,CLR,,,,,,,,,
2022-11-02 10:51:00,KORD,observation,1667407860,KORD,Chicago/O'Hare,1667400660,D,56,34,3400,Fair,1.0,Rising,48,56,75,29.54,10,56,170.0,S,,5,,,,0.0,,Low,56,1,,,,,CLR,,,,,,,,,
2022-11-02 11:51:00,KORD,observation,1667411460,KORD,Chicago/O'Hare,1667404260,D,63,34,3400,Fair,,,50,63,63,29.53,10,63,,VAR,,6,,,,0.0,,Low,63,2,,,,,CLR,,,,,,,,,
2022-11-02 12:51:00,KORD,observation,1667415060,KORD,Chicago/O'Hare,1667407860,D,66,34,3400,Fair,,,50,66,56,29.51,10,66,160.0,SSE,,8,,,,0.0,,Moderate,66,3,,,,,CLR,,,,,,,,,
2022-11-02 13:51:00,KORD,observation,1667418660,KORD,Chicago/O'Hare,1667411460,D,69,34,3400,Fair,2.0,Falling Rapidly,50,69,51,29.5,10,69,180.0,S,,10,,,,0.0,,Moderate,69,3,,,,,CLR,,,,,,,,,
2022-11-02 14:51:00,KORD,observation,1667422260,KORD,Chicago/O'Hare,1667415060,D,70,34,3400,Fair,,,49,70,47,29.48,10,70,190.0,S,,9,,,,0.0,,Low,70,2,,,,,CLR,,,,,,,,,
2022-11-02 15:51:00,KORD,observation,1667425860,KORD,Chicago/O'Hare,1667418660,D,71,34,3400,Fair,,,49,71,45,29.46,10,71,210.0,SSW,,9,,,,0.0,,Low,71,2,,,,,CLR,,,,,,,,,
2022-11-02 16:51:00,KORD,observation,1667429460,KORD,Chicago/O'Hare,1667422260,D,71,34,3400,Fair,2.0,Falling,48,71,44,29.45,10,71,170.0,S,,10,,,,0.0,,Low,71,1,,,,,CLR,,,,,,,,,
2022-11-02 17:51:00,KORD,observation,1667433060,KORD,Chicago/O'Hare,1667425860,D,70,34,3400,Fair,,,48,70,46,29.43,10,70,180.0,S,,10,,,,0.0,,Low,70,0,,,,,CLR,,,,,,,,,
2022-11-02 18:51:00,KORD,observation,1667436660,KORD,Chicago/O'Hare,1667429460,N,67,33,3300,Fair,,,49,67,52,29.44,10,67,170.0,S,,7,,,,0.0,,Low,67,0,,,,,FEW,,,,,,,,,
2022-11-02 19:51:00,KORD,observation,1667440260,KORD,Chicago/O'Hare,1667433060,N,66,33,3300,Fair,0.0,Steady,48,66,52,29.44,10,66,160.0,SSE,,7,,,,0.0,,Low,66,0,,,,,CLR,,,,,,,,,
2022-11-02 20:51:00,KORD,observation,1667443860,KORD,Chicago/O'Hare,1667436660,N,64,33,3300,Fair,,,49,64,58,29.44,10,64,170.0,S,,7,,,,0.0,,Low,64,0,,,,,CLR,,,,,,,,,
2022-11-02 21:51:00,KORD,observation,1667447460,KORD,Chicago/O'Hare,1667440260,N,61,33,3300,Fair,,,49,61,64,29.44,10,61,160.0,SSE,,7,,,,0.0,,Low,61,0,,,,,FEW,,,,,,,,,
2022-11-02 22:51:00,KORD,observation,1667451060,KORD,Chicago/O'Hare,1667443860,N,60,33,3300,Fair,1.0,Rising Rapidly,49,60,67,29.44,10,60,170.0,S,,7,,,,0.0,,Low,60,0,,,,,FEW,,,,,,,,,
2022-11-02 23:51:00,KORD,observation,1667454660,KORD,Chicago/O'Hare,1667447460,N,59,33,3300,Fair,,,49,59,69,29.44,10,59,170.0,S,,7,,,,0.0,,Low,59,0,,,,,FEW,,,,,,,,,
2022-11-03 00:51:00,KORD,observation,1667458260,KORD,Chicago/O'Hare,1667451060,N,58,33,3300,Fair,,,49,58,72,29.44,10,58,170.0,S,,7,,,,0.0,,Low,58,0,,,,,FEW,,,,,,,,,
2022-11-03 01:51:00,KORD,observation,1667461860,KORD,Chicago/O'Hare,1667454660,N,59,33,3300,Fair,2.0,Falling Rapidly,49,59,69,29.43,10,59,180.0,S,,10,72.0,43.0,,0.0,,Low,59,0,,,,,FEW,,,,,,,,,
2022-11-03 02:51:00,KORD,observation,1667465460,KORD,Chicago/O'Hare,1667458260,N,58,33,3300,Fair,,,49,58,72,29.43,10,58,180.0,S,,9,,,,0.0,,Low,58,0,,,,,FEW,,,,,,,,,
2022-11-03 03:51:00,KORD,observation,1667469060,KORD,Chicago/O'Hare,1667461860,N,57,33,3300,Fair,,,49,57,74,29.43,10,57,180.0,S,,9,,,,0.0,,Low,57,0,,,,,FEW,,,,,,,,,
2022-11-03 04:51:00,KORD,observation,1667472660,KORD,Chicago/O'Hare,1667465460,N,56,33,3300,Fair,2.0,Falling Rapidly,49,56,77,29.42,10,56,180.0,S,,7,,,,0.0,,Low,56,0,,,,,FEW,,,,,,,,,
2022-11-03 05:51:00,KORD,observation,1667476260,KORD,Chicago/O'Hare,1667469060,N,55,33,3300,Fair,,,48,55,77,29.42,10,55,190.0,S,,8,,,,0.0,,Low,55,0,,,,,FEW,,,,,,,,,
2022-11-03 06:51:00,KORD,observation,1667479860,KORD,Chicago/O'Hare,1667472660,N,53,33,3300,Fair,,,47,53,80,29.43,10,53,170.0,S,,7,,,,0.0,,Low,53,0,,,,,FEW,,,,,,,,,
2022-11-03 07:51:00,KORD,observation,1667483460,KORD,Chicago/O'Hare,1667476260,N,52,33,3300,Fair,0.0,Steady,47,52,83,29.42,10,52,170.0,S,,8,,,,0.0,,Low,52,0,,,,,FEW,,,,,,,,,
2022-11-03 08:51:00,KORD,observation,1667487060,KORD,Chicago/O'Hare,1667479860,D,53,34,3400,Fair,,,47,53,80,29.43,10,53,180.0,S,,8,,,,0.0,,Low,53,0,,,,,FEW,,,,,,,,,
2022-11-03 09:51:00,KORD,observation,1667490660,KORD,Chicago/O'Hare,1667483460,D,56,34,3400,Fair,,,48,56,75,29.44,10,56,180.0,S,,10,,,,0.0,,Low,56,0,,,,,FEW,,,,,,,,,
2022-11-03 10:51:00,KORD,observation,1667494260,KORD,Chicago/O'Hare,1667487060,D,62,30,3000,Partly Cloudy,1.0,Rising,49,62,62,29.44,10,62,190.0,S,,8,,,,0.0,,Low,62,1,,,,,SCT,,,,,,,,,
2022-11-03 11:51:00,KORD,observation,1667497860,KORD,Chicago/O'Hare,1667490660,D,67,28,2800,Mostly Cloudy,,,50,67,54,29.41,10,67,190.0,S,,13,,,,0.0,,Low,67,1,,,,,BKN,,,,,,,,,
2022-11-03 12:51:00,KORD,observation,1667501460,KORD,Chicago/O'Hare,1667494260,D,68,28,2800,Mostly Cloudy,,,49,68,50,29.39,10,68,210.0,SSW,25.0,15,,,,0.0,,Low,68,1,,,,,BKN,,,,,,,,,
2022-11-03 13:51:00,KORD,observation,1667505060,KORD,Chicago/O'Hare,1667497860,D,71,28,2890,Mostly Cloudy / Windy,2.0,Falling Rapidly,50,71,47,29.36,10,71,200.0,SSW,33.0,24,,,,0.0,,Low,71,2,,,,,BKN,,,,,,,,,
2022-11-03 14:51:00,KORD,observation,1667508660,KORD,Chicago/O'Hare,1667501460,D,72,28,2800,Mostly Cloudy,,,50,72,46,29.33,10,72,200.0,SSW,24.0,13,,,,0.0,,Low,72,1,,,,,BKN,,,,,,,,,
2022-11-03 15:51:00,KORD,observation,1667512260,KORD,Chicago/O'Hare,1667505060,D,73,28,2890,Mostly Cloudy / Windy,,,49,73,42,29.3,10,73,200.0,SSW,32.0,22,,,,0.0,,Low,73,1,,,,,BKN,,,,,,,,,
2022-11-03 16:51:00,KORD,observation,1667515860,KORD,Chicago/O'Hare,1667508660,D,72,28,2800,Mostly Cloudy,2.0,Falling,49,72,44,29.29,10,72,180.0,S,32.0,16,,,,0.0,,Low,72,0,,,,,BKN,,,,,,,,,
2022-11-03 17:51:00,KORD,observation,1667519460,KORD,Chicago/O'Hare,1667512260,D,70,28,2800,Mostly Cloudy,,,49,70,47,29.28,10,70,180.0,S,25.0,14,,,,0.0,,Low,70,0,,,,,BKN,,,,,,,,,
2022-11-03 18:51:00,KORD,observation,1667523060,KORD,Chicago/O'Hare,1667515860,N,69,26,2600,Cloudy,,,48,69,47,29.27,10,69,170.0,S,24.0,15,,,,0.0,,Low,69,0,,,,,OVC,,,,,,,,,
2022-11-03 19:51:00,KORD,observation,1667526660,KORD,Chicago/O'Hare,1667519460,N,67,26,2600,Cloudy,0.0,Steady,48,67,51,29.27,10,67,180.0,S,,13,,,,0.0,,Low,67,0,,,,,OVC,,,,,,,,,
