date,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
2022-11-02 03:51:00,KPHX,observation,1667382660,KPHX,Phoenix,1667375460,N,64,27,2700,Mostly Cloudy,,,38,64,38,28.73,10,64,80.0,E,,8,,,,0.0,,Low,64,0,,,,,BKN,,,,,,,,,
2022-11-02 04:51:00,KPHX,observation,1667386260,KPHX,Phoenix,1667379060,N,62,29,2900,Partly Cloudy,1.0,Rising Rapidly,37,62,39,28.74,10,62,80.0,E,,12,,,,0.0,,Low,62,0,,,,,SCT,,,,,,,,,
2022-11-02 05:51:00,KPHX,observation,1667389860,KPHX,Phoenix,1667382660,N,61,29,2900,Partly Cloudy,,,34,61,36,28.74,10,61,80.0,E,,12,,,,0.0,,Low,61,0,,,,,SCT,,,,,,,,,
2022-11-02 06:51:00,KPHX,observation,1667393460,KPHX,Phoenix,1667386260,N,60,27,2700,Mostly Cloudy,,,33,60,36,28.74,10,60,90.0,E,,9,,,,0.0,,Low,60,0,,,,,BKN,,,,,,,,,
2022-11-02 07:51:00,KPHX,observation,1667397060,KPHX,Phoenix,1667389860,N,60,33,3300,Fair,1.0,Rising Rapidly,34,60,38,28.75,10,60,100.0,E,,9,,,0.0,0.0,,Low,60,0,,,,,FEW,,,,,,,,,
2022-11-02 08:51:00,KPHX,observation,1667400660,KPHX,Phoenix,1667393460,N,60,33,3300,Fair,,,34,60,38,28.75,10,60,90.0,E,,8,,,,0.0,,Low,60,0,,,,,FEW,,,,,,,,,
2022-11-02 09:51:00,KPHX,observation,1667404260,KPHX,Phoenix,1667397060,D,60,34,3400,Fair,,,34,60,38,28.76,10,60,80.0,E,,8,,,,0.0,,Low,60,0,,,,,FEW,,,,,,,,,
2022-11-02 10:51:00,KPHX,observation,1667407860,KPHX,Phoenix,1667400660,D,63,34,3400,Fair,1.0,Rising,34,63,34,28.77,10,63,130.0,SE,,9,,,,0.0,,Low,63,0,,,,,FEW,,,,,,,,,
2022-11-02 11:51:00,KPHX,observation,1667411460,KPHX,Phoenix,1667404260,D,67,28,2800,Mostly Cloudy,,,35,67,31,28.79,10,67,140.0,SE,,12,,,,0.0,,Low,67,1,,,,,BKN,,,,,,,,,
2022-11-02 12:51:00,KPHX,observation,1667415060,KPHX,Phoenix,1667407860,D,69,28,2800,Mostly Cloudy,,,37,69,31,28.79,10,69,160.0,SSE,,12,,,,0.0,,Low,69,1,,,,,BKN,,,,,,,,,
2022-11-02 13:51:00,KPHX,observation,1667418660,KPHX,Phoenix,1667411460,D,74,28,2800,Mostly Cloudy,0.0,Steady,42,74,32,28.78,10,74,170.0,S,,9,,,,0.0,,Low,74,2,,,,,BKN,,,,,,,,,
2022-11-02 14:51:00,KPHX,observation,1667422260,KPHX,Phoenix,1667415060,D,74,28,2800,Mostly Cloudy,,,48,74,40,28.76,10,74,180.0,S,,5,,,,0.0,,Moderate,74,3,,,,,BKN,,,,,,,,,
