date,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
2022-11-02 00:51:00,KPWM,observation,1667371860,KPWM,Portland,1667364660,N,49,33,3300,Fair,,,49,49,100,29.94,8,49,,CALM,,0,61.0,47.0,,0.0,,Low,49,0,,,,,CLR,,,,,,,,,
2022-11-02 01:51:00,KPWM,observation,1667375460,KPWM,Portland,1667368260,N,51,33,3300,Fair,1.0,Rising Rapidly,49,51,92,29.97,10,51,330.0,NNW,,6,,,,0.0,,Low,51,0,,,,,CLR,,,,,,,,,
2022-11-02 02:51:00,KPWM,observation,1667379060,KPWM,Portland,1667371860,N,53,33,3300,Fair,,,46,53,77,29.99,10,53,330.0,NNW,,3,,,,0.0,,Low,53,0,,,,,CLR,,,,,,,,,
2022-11-02 03:51:00,KPWM,observation,1667382660,KPWM,Portland,1667375460,N,52,33,3300,Fair,,,45,52,77,30.01,10,52,320.0,NW,,3,,,,0.0,,Low,52,0,,,,,CLR,,,,,,,,,
2022-11-02 04:51:00,KPWM,observation,1667386260,KPWM,Portland,1667379060,N,53,33,3300,Fair,1.0,Rising,45,53,74,30.03,10,53,330.0,NNW,,12,,,,0.0,,Low,53,0,,,,,CLR,,,,,,,,,
2022-11-02 05:51:00,KPWM,observation,1667389860,KPWM,Portland,1667382660,N,53,33,3300,Fair,,,45,53,74,30.05,10,53,320.0,NW,,12,,,,0.0,,Low,53,0,,,,,CLR,,,,,,,,,
2022-11-02 06:51:00,KPWM,observation,1667393460,KPWM,Portland,1667386260,D,53,34,3400,Fair,,,44,53,71,30.07,10,53,330.0,NNW,,14,,,,0.0,,Low,53,0,,,,,CLR,,,,,,,,,
2022-11-02 07:51:00,KPWM,observation,1667397060,KPWM,Portland,1667389860,D,53,34,3400,Fair,1.0,Rising Rapidly,43,53,69,30.12,10,53,,VAR,,3,,,,0.0,,Low,53,0,,,,,FEW,,,,,,,,,
2022-11-02 08:51:00,KPWM,observation,1667400660,KPWM,Portland,1667393460,D,56,34,3400,Fair,,,43,56,62,30.15,10,56,320.0,NW,,10,,,,0.0,,Low,56,0,,,,,FEW,,,,,,,,,
2022-11-02 09:51:00,KPWM,observation,1667404260,KPWM,Portland,1667397060,D,59,34,3400,Fair,,,44,59,58,30.18,10,59,320.0,NW,,9,,,,0.0,,Low,59,1,,,,,FEW,,,,,,,,,
2022-11-02 10:51:00,KPWM,observation,1667407860,KPWM,Portland,1667400660,D,60,30,3000,Partly Cloudy,1.0,Rising,39,60,46,30.19,10,60,320.0,NW,,13,,,,0.0,,Low,60,1,,,,,SCT,,,,,,,,,
2022-11-02 11:51:00,KPWM,observation,1667411460,KPWM,Portland,1667404260,D,62,28,2800,Mostly Cloudy,,,35,62,37,30.2,10,62,330.0,NNW,,15,,,,0.0,,Low,62,1,,,,,BKN,,,,,,,,,
2022-11-02 12:51:00,KPWM,observation,1667415060,KPWM,Portland,1667407860,D,63,28,2800,Mostly Cloudy,,,30,63,29,30.18,10,63,320.0,NW,,15,,,,0.0,,Low,63,1,,,,,BKN,,,,,,,,,
2022-11-02 13:51:00,KPWM,observation,1667418660,KPWM,Portland,1667411460,D,63,28,2800,Mostly Cloudy,2.0,Falling Rapidly,28,63,27,30.18,10,63,340.0,NNW,21.0,16,,,,0.0,,Low,63,1,,,,,BKN,,,,,,,,,
2022-11-02 14:51:00,KPWM,observation,1667422260,KPWM,Portland,1667415060,D,63,28,2800,Mostly Cloudy,,,28,63,27,30.18,10,63,320.0,NW,21.0,14,,,,0.0,,Low,63,1,,,,,BKN,,,,,,,,,
2022-11-02 15:51:00,KPWM,observation,1667425860,KPWM,Portland,1667418660,D,62,30,3000,Partly Cloudy,,,28,62,28,30.19,10,62,310.0,NW,,9,,,,0.0,,Low,62,0,,,,,SCT,,,,,,,,,
2022-11-02 16:51:00,KPWM,observation,1667429460,KPWM,Portland,1667422260,D,60,34,3400,Fair,1.0,Rising Rapidly,23,60,24,30.2,10,60,330.0,NNW,,10,,,,0.0,,Low,60,0,,,,,FEW,,,,,,,,,
2022-11-02 17:51:00,KPWM,observation,1667433060,KPWM,Portland,1667425860,N,56,33,3300,Fair,,,25,56,30,30.21,10,56,330.0,NNW,,8,,,,0.0,,Low,56,0,,,,,CLR,,,,,,,,,
2022-11-02 18:51:00,KPWM,observation,1667436660,KPWM,Portland,1667429460,N,52,33,3300,Fair,,,27,52,38,30.23,10,52,270.0,W,,3,,,,0.0,,Low,52,0,,,,,CLR,,,,,,,,,
2022-11-02 19:51:00,KPWM,observation,1667440260,KPWM,Portland,1667433060,N,44,33,3300,Fair,1.0,Rising Rapidly,31,44,60,30.25,10,40,320.0,NW,,7,,,,0.0,,Low,40,0,,,,,CLR,,,,,,,,,
2022-11-02 20:51:00,KPWM,observation,1667443860,KPWM,Portland,1667436660,N,49,33,3300,Fair,,,29,49,46,30.26,10,47,270.0,W,,6,,,,0.0,,Low,47,0,,,,,CLR,,,,,,,,,
2022-11-02 21:51:00,KPWM,observation,1667447460,KPWM,Portland,1667440260,N,44,33,3300,Fair,,,30,44,58,30.29,10,44,,CALM,,0,,,,0.0,,Low,44,0,,,,,CLR,,,,,,,,,
2022-11-02 22:51:00,KPWM,observation,1667451060,KPWM,Portland,1667443860,N,44,33,3300,Fair,1.0,Rising,29,44,55,30.3,10,44,290.0,WNW,,3,,,,0.0,,Low,44,0,,,,,CLR,,,,,,,,,
