date,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
2022-11-02 03:18:00,KSEA,observation,1667380680,KSEA,Seattle,1667373480,N,42,11,1201,Light Rain,,,40,42,92,29.27,9,38,200.0,SSW,,7,,,,0.02,,Low,38,0,,,,,OVC,,,,,,,,,
2022-11-02 03:53:00,KSEA,observation,1667382780,KSEA,Seattle,1667375580,N,41,12,1200,Rain,,,38,41,89,29.28,5,36,190.0,S,,7,51.0,41.0,,0.1,,Low,36,0,,,,,OVC,,,,,,,,,
2022-11-02 04:05:00,KSEA,observation,1667383500,KSEA,Seattle,1667376300,N,41,11,1201,Light Rain,,,38,41,89,29.28,6,35,170.0,S,,9,,,,0.02,,Low,35,0,,,,,OVC,,,,,,,,,
2022-11-02 04:32:00,KSEA,observation,1667385120,KSEA,Seattle,1667377920,N,41,11,1201,Light Rain,,,38,41,89,29.29,8,35,170.0,S,,9,,,,0.05,,Low,35,0,,,,,OVC,,,,,,,,,
2022-11-02 04:53:00,KSEA,observation,1667386380,KSEA,Seattle,1667379180,N,41,11,1201,Light Rain,1.0,Rising Rapidly,38,41,89,29.3,10,36,170.0,S,,7,,,,0.05,,Low,36,0,,,,,OVC,,,,,,,,,
2022-11-02 05:13:00,KSEA,observation,1667387580,KSEA,Seattle,1667380380,N,41,26,2600,Cloudy,,,39,41,93,29.3,10,37,170.0,S,,6,,,,0.0,,Low,37,0,,,,,OVC,,,,,,,,,
2022-11-02 05:53:00,KSEA,observation,1667389980,KSEA,Seattle,1667382780,N,41,26,2600,Cloudy,,,38,41,89,29.32,10,35,180.0,S,,9,,,,0.0,,Low,35,0,,,,,OVC,,,,,,,,,
2022-11-02 06:53:00,KSEA,observation,1667393580,KSEA,Seattle,1667386380,N,41,11,1201,Light Rain,,,38,41,89,29.33,10,35,220.0,SW,,9,,,,0.0,,Low,35,0,,,,,OVC,,,,,,,,,
2022-11-02 07:53:00,KSEA,observation,1667397180,KSEA,Seattle,1667389980,N,41,11,1201,Light Rain,1.0,Rising,38,41,89,29.35,10,36,160.0,SSE,,8,,,0.17,0.0,,Low,36,0,,,,,OVC,,,,,,,,,
2022-11-02 08:40:00,KSEA,observation,1667400000,KSEA,Seattle,1667392800,N,41,26,2600,Cloudy,,,38,41,89,29.36,10,37,190.0,S,,6,,,,0.0,,Low,37,0,,,,,OVC,,,,,,,,,
2022-11-02 08:53:00,KSEA,observation,1667400780,KSEA,Seattle,1667393580,N,41,26,2600,Cloudy,,,38,41,89,29.37,10,37,200.0,SSW,,6,,,,0.0,,Low,37,0,,,,,OVC,,,,,,,,,
2022-11-02 09:53:00,KSEA,observation,1667404380,KSEA,Seattle,1667397180,N,41,26,2600,Cloudy,,,37,41,86,29.38,10,36,190.0,S,,8,,,,0.0,,Low,36,0,,,,,OVC,,,,,,,,,
2022-11-02 10:22:00,KSEA,observation,1667406120,KSEA,Seattle,1667398920,N,40,26,2600,Cloudy,,,36,40,86,29.39,10,34,180.0,S,,9,,,,0.0,,Low,34,0,,,,,OVC,,,,,,,,,
2022-11-02 10:53:00,KSEA,observation,1667407980,KSEA,Seattle,1667400780,D,40,26,2600,Cloudy,1.0,Rising,36,40,86,29.4,10,34,180.0,S,,9,,,,0.0,,Low,34,0,,,,,OVC,,,,,,,,,
2022-11-02 11:53:00,KSEA,observation,1667411580,KSEA,Seattle,1667404380,D,41,26,2600,Cloudy,,,37,41,86,29.42,10,37,190.0,S,,6,,,,0.0,,Low,37,0,,,,,OVC,,,,,,,,,
2022-11-02 12:33:00,KSEA,observation,1667413980,KSEA,Seattle,1667406780,D,41,11,1201,Light Rain,,,37,41,86,29.44,10,36,170.0,S,,7,,,,0.0,,Low,36,0,,,,,OVC,,,,,,,,,
2022-11-02 12:53:00,KSEA,observation,1667415180,KSEA,Seattle,1667407980,D,41,11,1201,Light Rain,,,38,41,89,29.45,7,38,180.0,S,,5,,,,0.01,,Low,38,0,,,,,OVC,,,,,,,,,
2022-11-02 13:53:00,KSEA,observation,1667418780,KSEA,Seattle,1667411580,D,42,26,2600,Cloudy,1.0,Rising,37,42,82,29.47,10,37,170.0,S,,9,,,,0.0,,Low,37,0,,,,,OVC,,,,,,,,,
2022-11-02 14:28:00,KSEA,observation,1667420880,KSEA,Seattle,1667413680,D,43,26,2600,Cloudy,,,38,43,82,29.49,10,39,160.0,SSE,,7,,,,0.0,,Low,39,1,,,,,OVC,,,,,,,,,
2022-11-02 14:53:00,KSEA,observation,1667422380,KSEA,Seattle,1667415180,D,42,26,2600,Cloudy,,,38,42,85,29.5,7,38,290.0,WNW,,7,,,,0.0,,Low,38,1,,,,,OVC,,,,,,,,,
2022-11-02 15:11:00,KSEA,observation,1667423460,KSEA,Seattle,1667416260,D,42,26,2600,Cloudy,,,38,42,85,29.51,10,38,290.0,WNW,,7,,,,0.0,,Low,38,1,,,,,OVC,,,,,,,,,
2022-11-02 15:53:00,KSEA,observation,1667425980,KSEA,Seattle,1667418780,D,42,26,2600,Cloudy,,,37,42,82,29.51,10,39,300.0,WNW,,5,,,,0.0,,Low,39,1,,,,,OVC,,,,,,,,,
2022-11-02 16:00:00,KSEA,observation,1667426400,KSEA,Seattle,1667419200,D,43,26,2600,Cloudy,,,37,43,80,29.51,10,43,300.0,WNW,,3,,,,0.0,,Low,43,1,,,,,OVC,,,,,,,,,
2022-11-02 16:33:00,KSEA,observation,1667428380,KSEA,Seattle,1667421180,D,43,26,2600,Cloudy,,,37,43,80,29.52,10,39,280.0,W,,6,,,,0.0,,Low,39,1,,,,,OVC,,,,,,,,,
2022-11-02 16:53:00,KSEA,observation,1667429580,KSEA,Seattle,1667422380,D,43,28,2800,Mostly Cloudy,1.0,Rising,38,43,82,29.52,10,40,250.0,WSW,,5,,,,0.0,,Low,40,1,,,,,BKN,,,,,,,,,
2022-11-02 17:34:00,KSEA,observation,1667432040,KSEA,Seattle,1667424840,D,43,28,2800,Mostly Cloudy,,,38,43,82,29.53,10,40,280.0,W,,5,,,,0.0,,Low,40,1,,,,,BKN,,,,,,,,,
2022-11-02 17:53:00,KSEA,observation,1667433180,KSEA,Seattle,1667425980,D,42,30,3000,Partly Cloudy,,,36,42,79,29.54,10,39,280.0,W,,5,,,,0.0,,Low,39,1,,,,,SCT,,,,,,,,,
2022-11-02 18:53:00,KSEA,observation,1667436780,KSEA,Seattle,1667429580,D,45,30,3000,Partly Cloudy,,,35,45,68,29.55,10,43,290.0,WNW,,5,,,,0.0,,Low,43,0,,,,,SCT,,,,,,,,,
2022-11-02 19:53:00,KSEA,observation,1667440380,KSEA,Seattle,1667433180,D,45,30,3000,Partly Cloudy,1.0,Rising Rapidly,35,45,68,29.57,10,43,280.0,W,,5,,,,0.0,,Low,43,0,,,,,SCT,,,,,,,,,
2022-11-02 20:53:00,KSEA,observation,1667443980,KSEA,Seattle,1667436780,N,43,29,2900,Partly Cloudy,,,36,43,76,29.6,10,43,,CALM,,0,,,,0.0,,Low,43,0,,,,,SCT,,,,,,,,,
2022-11-02 21:44:00,KSEA,observation,1667447040,KSEA,Seattle,1667439840,N,43,27,2700,Mostly Cloudy,,,36,43,76,29.62,10,43,310.0,NW,,3,,,,0.0,,Low,43,0,,,,,BKN,,,,,,,,,
2022-11-02 21:53:00,KSEA,observation,1667447580,KSEA,Seattle,1667440380,N,43,27,2700,Mostly Cloudy,,,36,43,76,29.62,10,43,330.0,NNW,,3,,,,0.0,,Low,43,0,,,,,BKN,,,,,,,,,
2022-11-02 22:01:00,KSEA,observation,1667448060,KSEA,Seattle,1667440860,N,43,27,2700,Mostly Cloudy,,,36,43,76,29.62,10,43,330.0,NNW,,3,,,,0.0,,Low,43,0,,,,,BKN,,,,,,,,,
2022-11-02 22:53:00,KSEA,observation,1667451180,KSEA,Seattle,1667443980,N,42,29,2900,Partly Cloudy,1.0,Rising,36,42,79,29.63,10,39,360.0,N,,5,,,,0.0,,Low,39,0,,,,,SCT,,,,,,,,,
2022-11-02 23:53:00,KSEA,observation,1667454780,KSEA,Seattle,1667447580,N,41,29,2900,Partly Cloudy,,,37,41,86,29.66,10,41,,CALM,,0,,,,0.0,,Low,41,0,,,,,SCT,,,,,,,,,
2022-11-03 00:53:00,KSEA,observation,1667458380,KSEA,Seattle,1667451180,N,41,27,2700,Mostly Cloudy,,,37,41,86,29.67,10,37,,VAR,,6,,,,0.0,,Low,37,0,,,,,BKN,,,,,,,,,
2022-11-03 01:53:00,KSEA,observation,1667461980,KSEA,Seattle,1667454780,N,40,29,2900,Partly Cloudy,1.0,Rising,36,40,86,29.68,10,36,140.0,SE,,6,,,,0.0,,Low,36,0,,,,,SCT,,,,,,,,,
2022-11-03 02:40:00,KSEA,observation,1667464800,KSEA,Seattle,1667457600,N,41,26,2600,Cloudy,,,37,41,86,29.69,10,38,130.0,SE,,5,,,,0.0,,Low,38,0,,,,,OVC,,,,,,,,,
2022-11-03 02:43:00,KSEA,observation,1667464980,KSEA,Seattle,1667457780,N,41,27,2700,Mostly Cloudy,,,37,41,86,29.69,10,38,130.0,SE,,5,,,,0.0,,Low,38,0,,,,,BKN,,,,,,,,,
2022-11-03 02:53:00,KSEA,observation,1667465580,KSEA,Seattle,1667458380,N,40,27,2700,Mostly Cloudy,,,37,40,89,29.69,10,37,150.0,SSE,,5,,,,0.0,,Low,37,0,,,,,BKN,,,,,,,,,
2022-11-03 03:17:00,KSEA,observation,1667467020,KSEA,Seattle,1667459820,N,39,27,2700,Mostly Cloudy,,,36,39,89,29.7,10,35,140.0,SE,,6,,,,0.0,,Low,35,0,,,,,BKN,,,,,,,,,
2022-11-03 03:37:00,KSEA,observation,1667468220,KSEA,Seattle,1667461020,N,39,27,2700,Mostly Cloudy,,,36,39,89,29.71,10,36,140.0,SE,,5,,,,0.0,,Low,36,0,,,,,BKN,,,,,,,,,
2022-11-03 03:53:00,KSEA,observation,1667469180,KSEA,Seattle,1667461980,N,38,27,2700,Mostly Cloudy,,,35,38,89,29.71,10,33,120.0,ESE,,6,46.0,38.0,,0.0,,Low,33,0,,,,,BKN,,,,,,,,,
