date,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
2022-11-02 03:56:00,KSFO,observation,1667382960,KSFO,San Francisco,1667375760,N,52,29,2900,Partly Cloudy,,,44,52,74,30.01,10,52,230.0,SW,,8,59.0,51.0,,0.0,,Low,52,0,,,,,SCT,,,,,,,,,
2022-11-02 04:56:00,KSFO,observation,1667386560,KSFO,San Francisco,1667379360,N,52,29,2900,Partly Cloudy,1.0,Rising Rapidly,44,52,74,30.02,10,52,240.0,WSW,,12,,,,0.0,,Low,52,0,,,,,SCT,,,,,,,,,
2022-11-02 05:56:00,KSFO,observation,1667390160,KSFO,San Francisco,1667382960,N,51,29,2900,Partly Cloudy,,,45,51,80,30.03,10,51,220.0,SW,,7,,,,0.0,,Low,51,0,,,,,SCT,,,,,,,,,
2022-11-02 06:56:00,KSFO,observation,1667393760,KSFO,San Francisco,1667386560,N,51,29,2900,Partly Cloudy,,,46,51,83,30.04,10,51,240.0,WSW,,10,,,,0.0,,Low,51,0,,,,,SCT,,,,,,,,,
2022-11-02 07:56:00,KSFO,observation,1667397360,KSFO,San Francisco,1667390160,N,51,29,2900,Partly Cloudy,1.0,Rising,46,51,83,30.04,10,51,230.0,SW,,7,,,0.28,0.0,,Low,51,0,,,,,SCT,,,,,,,,,
2022-11-02 08:56:00,KSFO,observation,1667400960,KSFO,San Francisco,1667393760,N,50,33,3300,Fair,,,45,50,83,30.06,10,50,220.0,SW,,6,,,,0.0,,Low,50,0,,,,,FEW,,,,,,,,,
2022-11-02 09:56:00,KSFO,observation,1667404560,KSFO,San Francisco,1667397360,N,51,33,3300,Fair,,,44,51,77,30.06,10,51,200.0,SSW,,5,,,,0.0,,Low,51,0,,,,,FEW,,,,,,,,,
2022-11-02 10:56:00,KSFO,observation,1667408160,KSFO,San Francisco,1667400960,D,50,28,2800,Mostly Cloudy,1.0,Rising,44,50,80,30.07,10,50,220.0,SW,,3,,,,0.0,,Low,50,0,,,,,BKN,,,,,,,,,
2022-11-02 11:56:00,KSFO,observation,1667411760,KSFO,San Francisco,1667404560,D,54,28,2800,Mostly Cloudy,,,45,54,72,30.09,10,54,,CALM,,0,,,,0.0,,Low,54,0,,,,,BKN,,,,,,,,,
2022-11-02 12:56:00,KSFO,observation,1667415360,KSFO,San Francisco,1667408160,D,56,28,2800,Mostly Cloudy,,,43,56,62,30.09,10,56,250.0,WSW,,9,,,,0.0,,Low,56,1,,,,,BKN,,,,,,,,,
2022-11-02 13:56:00,KSFO,observation,1667418960,KSFO,San Francisco,1667411760,D,58,28,2800,Mostly Cloudy,1.0,Rising,45,58,62,30.1,10,58,250.0,WSW,,16,,,,0.0,,Low,58,1,,,,,BKN,,,,,,,,,
2022-11-02 14:36:00,KSFO,observation,1667421360,KSFO,San Francisco,1667414160,D,52,11,1201,Light Rain,,,47,52,83,30.11,10,52,280.0,W,,13,,,,0.0,,Low,52,1,,,,,OVC,,,,,,,,,
2022-11-02 14:56:00,KSFO,observation,1667422560,KSFO,San Francisco,1667415360,D,55,28,2800,Mostly Cloudy,,,47,55,74,30.1,10,55,230.0,SW,,12,,,,0.01,,Low,55,2,,,,,BKN,,,,,,,,,
2022-11-02 15:56:00,KSFO,observation,1667426160,KSFO,San Francisco,1667418960,D,59,30,3000,Partly Cloudy,,,41,59,51,30.08,10,59,250.0,WSW,23.0,13,,,,0.0,,Moderate,59,3,,,,,SCT,,,,,,,,,
2022-11-02 16:56:00,KSFO,observation,1667429760,KSFO,San Francisco,1667422560,D,60,30,3000,Partly Cloudy,2.0,Falling Rapidly,40,60,47,30.06,10,60,270.0,W,,18,,,,0.0,,Low,60,2,,,,,SCT,,,,,,,,,
2022-11-02 17:56:00,KSFO,observation,1667433360,KSFO,San Francisco,1667426160,D,58,28,2800,Mostly Cloudy,,,41,58,53,30.06,10,58,270.0,W,,17,,,,0.0,,Low,58,1,,,,,BKN,,,,,,,,,
2022-11-02 18:56:00,KSFO,observation,1667436960,KSFO,San Francisco,1667429760,D,58,28,2800,Mostly Cloudy,,,42,58,56,30.06,10,58,250.0,WSW,,13,,,,0.0,,Low,58,1,,,,,BKN,,,,,,,,,
2022-11-02 19:56:00,KSFO,observation,1667440560,KSFO,San Francisco,1667433360,D,57,30,3000,Partly Cloudy,2.0,Falling,43,57,59,30.06,10,57,250.0,WSW,,13,,,,0.0,,Low,57,0,,,,,SCT,,,,,,,,,
2022-11-02 20:56:00,KSFO,observation,1667444160,KSFO,San Francisco,1667436960,D,55,34,3400,Fair,,,45,55,69,30.06,10,55,260.0,W,,16,,,,0.0,,Low,55,0,,,,,FEW,,,,,,,,,
2022-11-02 21:56:00,KSFO,observation,1667447760,KSFO,San Francisco,1667440560,N,53,33,3300,Fair,,,44,53,71,30.07,10,53,280.0,W,,15,,,,0.0,,Low,53,0,,,,,FEW,,,,,,,,,
2022-11-02 22:56:00,KSFO,observation,1667451360,KSFO,San Francisco,1667444160,N,53,33,3300,Fair,1.0,Rising Rapidly,45,53,74,30.07,10,53,280.0,W,,16,,,,0.0,,Low,53,0,,,,,FEW,,,,,,,,,
2022-11-02 23:56:00,KSFO,observation,1667454960,KSFO,San Francisco,1667447760,N,52,33,3300,Fair,,,43,52,71,30.08,10,52,290.0,WNW,,17,,,,0.0,,Low,52,0,,,,,FEW,,,,,,,,,
2022-11-03 00:56:00,KSFO,observation,1667458560,KSFO,San Francisco,1667451360,N,52,33,3300,Fair,,,43,52,71,30.09,10,52,290.0,WNW,,17,,,,0.0,,Low,52,0,,,,,FEW,,,,,,,,,
2022-11-03 01:56:00,KSFO,observation,1667462160,KSFO,San Francisco,1667454960,N,51,33,3300,Fair,1.0,Rising Rapidly,42,51,71,30.09,10,51,290.0,WNW,,16,,,,0.0,,Low,51,0,,,,,FEW,,,,,,,,,
2022-11-03 02:56:00,KSFO,observation,1667465760,KSFO,San Francisco,1667458560,N,51,33,3300,Fair,,,42,51,71,30.09,10,51,290.0,WNW,,15,,,,0.0,,Low,51,0,,,,,FEW,,,,,,,,,
2022-11-03 03:56:00,KSFO,observation,1667469360,KSFO,San Francisco,1667462160,N,50,33,3300,Fair,,,42,50,74,30.1,10,50,280.0,W,,15,60.0,50.0,,0.0,,Low,50,0,,,,,FEW,,,,,,,,,
2022-11-03 04:56:00,KSFO,observation,1667472960,KSFO,San Francisco,1667465760,N,49,33,3300,Fair,0.0,Steady,39,49,69,30.1,10,45,280.0,W,,10,,,,0.0,,Low,45,0,,,,,FEW,,,,,,,,,
2022-11-03 05:56:00,KSFO,observation,1667476560,KSFO,San Francisco,1667469360,N,48,33,3300,Fair,,,39,48,71,30.11,10,45,300.0,WNW,,7,,,,0.0,,Low,45,0,,,,,FEW,,,,,,,,,
2022-11-03 06:56:00,KSFO,observation,1667480160,KSFO,San Francisco,1667472960,N,50,33,3300,Fair,,,34,50,54,30.12,10,50,330.0,NNW,,9,,,,0.0,,Low,50,0,,,,,FEW,,,,,,,,,
2022-11-03 07:56:00,KSFO,observation,1667483760,KSFO,San Francisco,1667476560,N,48,33,3300,Fair,1.0,Rising,35,48,61,30.12,10,45,320.0,NW,,7,,,0.01,0.0,,Low,45,0,,,,,FEW,,,,,,,,,
