date,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
2022-11-02 02:54:00,KSLC,observation,1667379240,KSLC,Salt Lake City,1667372040,N,60,27,2700,Mostly Cloudy,,,23,60,24,25.42,10.0,60,180.0,S,31.0,17,67.0,48.0,,0.0,,Low,60,0,,,,,BKN,,,,,,,,,
2022-11-02 03:54:00,KSLC,observation,1667382840,KSLC,Salt Lake City,1667375640,N,61,27,2790,Mostly Cloudy / Windy,,,23,61,23,25.43,10.0,61,180.0,S,40.0,25,,,,0.0,,Low,61,0,,,,,BKN,,,,,,,,,
2022-11-02 04:54:00,KSLC,observation,1667386440,KSLC,Salt Lake City,1667379240,N,60,27,2790,Mostly Cloudy / Windy,1.0,Rising,22,60,23,25.44,10.0,60,180.0,S,43.0,29,,,,0.0,,Low,60,0,,,,,BKN,,,,,,,,,
2022-11-02 05:54:00,KSLC,observation,1667390040,KSLC,Salt Lake City,1667382840,N,59,27,2790,Mostly Cloudy / Windy,,,22,59,24,25.45,10.0,59,180.0,S,45.0,28,,,,0.0,,Low,59,0,,,,,BKN,,,,,,,,,
2022-11-02 06:18:00,KSLC,observation,1667391480,KSLC,Salt Lake City,1667384280,N,50,26,2600,Cloudy,,,31,50,48,25.5,10.0,50,300.0,WNW,43.0,16,,,,0.0,,Low,50,0,,,,,OVC,,,,,,,,,
2022-11-02 06:54:00,KSLC,observation,1667393640,KSLC,Salt Lake City,1667386440,N,48,27,2700,Mostly Cloudy,,,32,48,54,25.53,10.0,41,350.0,N,,18,,,,0.0,,Low,41,0,,,,,BKN,,,,,,,,,
2022-11-02 07:54:00,KSLC,observation,1667397240,KSLC,Salt Lake City,1667390040,N,48,27,2700,Mostly Cloudy,1.0,Rising Rapidly,31,48,52,25.54,10.0,44,330.0,NNW,22.0,8,,,,0.0,,Low,44,0,,,,,BKN,,,,,,,,,
2022-11-02 08:54:00,KSLC,observation,1667400840,KSLC,Salt Lake City,1667393640,N,46,27,2700,Mostly Cloudy,,,31,46,56,25.57,10.0,39,300.0,WNW,28.0,17,,,,0.0,,Low,39,0,,,,,BKN,,,,,,,,,
2022-11-02 09:34:00,KSLC,observation,1667403240,KSLC,Salt Lake City,1667396040,D,42,11,1201,Light Rain,,,36,42,79,25.59,9.0,34,10.0,N,,18,,,,0.0,,Low,34,0,,,,,OVC,,,,,,,,,
2022-11-02 09:54:00,KSLC,observation,1667404440,KSLC,Salt Lake City,1667397240,D,41,11,1201,Light Rain,,,35,41,79,25.6,7.0,32,320.0,NW,,17,,,,0.01,,Low,32,0,,,,,OVC,,,,,,,,,
2022-11-02 10:54:00,KSLC,observation,1667408040,KSLC,Salt Lake City,1667400840,D,40,11,1201,Light Rain,1.0,Rising Rapidly,34,40,79,25.63,6.0,32,320.0,NW,,15,,,,0.08,,Low,32,0,,,,,OVC,,,,,,,,,
2022-11-02 11:05:00,KSLC,observation,1667408700,KSLC,Salt Lake City,1667401500,D,39,11,1201,Light Rain,,,34,39,82,25.64,5.0,33,340.0,NNW,,8,,,,0.02,,Low,33,0,,,,,OVC,,,,,,,,,
2022-11-02 11:35:00,KSLC,observation,1667410500,KSLC,Salt Lake City,1667403300,D,36,14,1601,Light Snow,,,34,36,93,25.65,4.0,36,,VAR,,3,,,,0.06,,Low,36,0,,,,,OVC,,,,,,,,,
2022-11-02 11:54:00,KSLC,observation,1667411640,KSLC,Salt Lake City,1667404440,D,36,11,1201,Light Rain,,,33,36,89,25.65,5.0,31,80.0,E,,6,,,,0.09,,Low,31,0,,,,,OVC,,,,,,,,,
