date,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
2022-11-02 06:53:00,PHNL,observation,1667393580,PHNL,Honolulu,1667386380,N,76,29,2900,Partly Cloudy,,,69,76,79,30.02,10,76,,CALM,,0,,,,0.0,,Low,76,0,,,,,SCT,,,,,,,,,
2022-11-02 07:53:00,PHNL,observation,1667397180,PHNL,Honolulu,1667389980,N,77,29,2900,Partly Cloudy,2.0,Falling Rapidly,69,79,76,30.01,10,77,,VAR,,7,,,,0.0,,Low,79,0,,,,,SCT,,,,,,,,,
2022-11-02 08:53:00,PHNL,observation,1667400780,PHNL,Honolulu,1667393580,N,76,33,3300,Fair,,,69,76,79,30.0,10,76,340.0,NNW,,3,,,,0.0,,Low,76,0,,,,,FEW,,,,,,,,,
2022-11-02 09:53:00,PHNL,observation,1667404380,PHNL,Honolulu,1667397180,N,75,33,3300,Fair,,,69,75,82,30.0,10,75,,CALM,,0,,,,0.0,,Low,75,0,,,,,FEW,,,,,,,,,
2022-11-02 10:53:00,PHNL,observation,1667407980,PHNL,Honolulu,1667400780,N,74,33,3300,Fair,0.0,Steady,70,74,87,30.0,10,74,350.0,N,,3,,,,0.0,,Low,74,0,,,,,FEW,,,,,,,,,
2022-11-02 11:53:00,PHNL,observation,1667411580,PHNL,Honolulu,1667404380,N,74,29,2900,Partly Cloudy,,,70,74,87,30.01,10,74,,CALM,,0,,,,0.0,,Low,74,0,,,,,SCT,,,,,,,,,
2022-11-02 12:53:00,PHNL,observation,1667415180,PHNL,Honolulu,1667407980,D,75,28,2800,Mostly Cloudy,,,70,75,84,30.04,10,75,,CALM,,0,,,,0.0,,Low,75,0,,,,,BKN,,,,,,,,,
2022-11-02 13:53:00,PHNL,observation,1667418780,PHNL,Honolulu,1667411580,D,77,30,3000,Partly Cloudy,1.0,Rising,73,78,88,30.05,10,77,30.0,NNE,,3,,,,0.02,,Low,78,0,,,,,SCT,,,,,,,,,
2022-11-02 14:53:00,PHNL,observation,1667422380,PHNL,Honolulu,1667415180,D,81,34,3400,Fair,,,71,85,72,30.06,10,81,70.0,ENE,,12,,,,0.0,,Low,85,2,,,,,FEW,,,,,,,,,
2022-11-02 15:53:00,PHNL,observation,1667425980,PHNL,Honolulu,1667418780,D,83,30,3000,Partly Cloudy,,,71,88,67,30.07,10,83,50.0,NE,20.0,16,,,,0.0,,Moderate,88,3,,,,,SCT,,,,,,,,,
